coinKey,coinName,follower_id,follower_name,follower_username,follower_image,follower_twitterScore,follower_followersCount,relatedEntity_fund,relatedEntity_coin
echooo,Echooo,9259,⚡️Meter.io⚡️,Meter_IO,https://pbs.twimg.com/profile_images/1537139719145803777/MbC5qZkw_normal.jpg,1174.0,36392,,meter
echooo,Echooo,10665,"CJ the ""Doughnut""",CJCJCJCJ_,https://pbs.twimg.com/profile_images/1605119061402083328/tMR1iA_w_normal.jpg,5368.0,22561,,
echooo,Echooo,40880,SmartecVitalik,Smartecio,https://pbs.twimg.com/profile_images/1615135339672227842/GDu8ky6i_normal.jpg,1494.0,44258,,
echooo,Echooo,44303,Noah Miller,iamnoahmiller,https://pbs.twimg.com/profile_images/1843387381975584768/Evr9SEOR_normal.jpg,3426.0,151446,,
echooo,Echooo,100078,杀破狼 WolfyXBT,Wolfy_XBT,https://pbs.twimg.com/profile_images/1680938637628944384/2FYk0Ft4_normal.jpg,2013.0,827171,,
clockwork,Clockwork ,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
clockwork,Clockwork ,509,Kyle Samani,KyleSamani,https://pbs.twimg.com/profile_images/1858578125870809088/sfUhlDBd_normal.jpg,17534.0,173792,,
clockwork,Clockwork ,510,Matthew Graham,mattyryze,https://pbs.twimg.com/profile_images/1919737359005863936/aiiZ1nKP_normal.jpg,12593.0,82008,,
clockwork,Clockwork ,591,Tarun Chitra,tarunchitra,https://pbs.twimg.com/profile_images/1587539091444432897/Z6_nmrCB_normal.jpg,14701.0,72386,tarun-chitra,
clockwork,Clockwork ,3373,0xMaki,0xMaki,https://pbs.twimg.com/profile_images/1737148253970534400/Up8-uZBz_normal.jpg,16441.0,79213,,
tokenproof,Tokenproof,592,gmoney.9dcc.e τh,gmoneyNFT,https://pbs.twimg.com/profile_images/1626216945698881541/kF6xM_Cb_normal.jpg,16138.0,315914,gmoney,
tokenproof,Tokenproof,605,6529,punk6529,https://pbs.twimg.com/profile_images/1784231403325943808/PBDWE07Y_normal.jpg,19236.0,488674,punk6529,
tokenproof,Tokenproof,701,Zeneca.xyz 🔮,Zeneca,https://pbs.twimg.com/profile_images/1869696037709041664/KV7BpbYk_normal.jpg,14947.0,394945,,
tokenproof,Tokenproof,948,Alex Svanevik 🐧,ASvanevik,https://pbs.twimg.com/profile_images/1904802364693110788/zd_pVrlq_normal.jpg,18882.0,212269,,
tokenproof,Tokenproof,2018,DeeZe ⛳🏌️‍♂️,DeeZe,https://pbs.twimg.com/profile_images/1902173684149747712/zpm6QNQ6_normal.jpg,16598.0,274714,,
ethermail,EtherMail,522,Jihoz.ron 🍚,Jihoz_Axie,https://pbs.twimg.com/profile_images/1884000813388894208/3UKZt6CV_normal.jpg,11769.0,524688,jeff-zirlin,
ethermail,EtherMail,599,DEGEN NEWS,DegenerateNews,https://pbs.twimg.com/profile_images/1551586710873550848/8_M8f6ds_normal.jpg,12335.0,384992,,
ethermail,EtherMail,695,scoopy trooples,scupytrooples,https://pbs.twimg.com/profile_images/1884098904360353792/M1HSJU4l_normal.jpg,11826.0,103458,scoopy-trooples,
ethermail,EtherMail,879,SpiderCrypto 🧑‍🍳🧲,SpiderCrypto0x,https://pbs.twimg.com/profile_images/1881407589935628288/4L1lU0KQ_normal.jpg,11946.0,110770,,
ethermail,EtherMail,66043,Ignas | DeFi,DefiIgnas,https://pbs.twimg.com/profile_images/1572199012790603778/GF4NXSKr_normal.jpg,11982.0,141332,,
unlockd,Unlockd,281,Kelvin Koh,SpartanBlack_1,https://pbs.twimg.com/profile_images/1504359090281381888/c4MsLjyL_normal.jpg,8967.0,49196,,
unlockd,Unlockd,505,Stani.eth,StaniKulechov,https://pbs.twimg.com/profile_images/1880993699661852672/RzdhDkv2_normal.jpg,19548.0,265529,stani-kulechov,
unlockd,Unlockd,597,palmer // not for everyone,bitcoinPalmer,https://pbs.twimg.com/profile_images/1874289219683643392/Z8PmyFpA_normal.jpg,10678.0,37179,bitcoinpalmer,
unlockd,Unlockd,765,Andrew Steinwold,AndrewSteinwold,https://pbs.twimg.com/profile_images/1853456819223478272/q_42cb7g_normal.jpg,9201.0,71785,andrew-steinwold,
unlockd,Unlockd,3257,Teng Yan · 30 days of COT,0xPrismatic,https://pbs.twimg.com/profile_images/1822948258752442368/rqjcPBNB_normal.jpg,9073.0,36338,teng-yan,
sei-network,Sei,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
sei-network,Sei,594,"smolting (wassie, verse)",inversebrah,https://pbs.twimg.com/profile_images/1812298915661623296/P0Yj0Xgq_normal.jpg,21840.0,357962,,
sei-network,Sei,595,Ansem 🐂🀄️,blknoiz06,https://pbs.twimg.com/profile_images/1909437863592132608/R14kQm8j_normal.jpg,22604.0,724539,ansem,
sei-network,Sei,1111,Zhu Su,zhusu,https://pbs.twimg.com/profile_images/1642482315602395138/7g4NNyuA_normal.jpg,21399.0,629118,,
sei-network,Sei,1289,Arthur,Arthur_0x,https://pbs.twimg.com/profile_images/1889910817254182912/3LbsrI1x_normal.jpg,19235.0,197670,arthur-cheong,
proof,PROOF,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
proof,PROOF,531,cdixon.eth,cdixon,https://pbs.twimg.com/profile_images/1433529810681155587/ACs86CsF_normal.png,,877934,chris-dixon,
proof,PROOF,596,loomdart - Holy War Arc,loomdart,https://pbs.twimg.com/profile_images/1890221706104508416/f_NKIFhr_normal.jpg,20440.0,321534,,
proof,PROOF,605,6529,punk6529,https://pbs.twimg.com/profile_images/1784231403325943808/PBDWE07Y_normal.jpg,19236.0,488674,punk6529,
proof,PROOF,644,Udi Wizardheimer,udiWertheimer,https://pbs.twimg.com/profile_images/1899559293159952384/xpng4kz2_normal.jpg,17289.0,218739,udi-wertheimer,
koop-protocol,Koop Protocol,37,mikedemarais.eth (on fartcaster),mikedemarais,https://pbs.twimg.com/profile_images/1882122375795224576/fgkp8Wqv_normal.jpg,11215.0,56692,,
koop-protocol,Koop Protocol,1062,Jesse Walden,jessewldn,https://pbs.twimg.com/profile_images/1552285713483407365/qx3N075E_normal.png,11698.0,55277,,
koop-protocol,Koop Protocol,1267,Li Jin,ljin18,https://pbs.twimg.com/profile_images/1547998399147827202/D_2uvDGj_normal.jpg,10490.0,182243,li-jin,
koop-protocol,Koop Protocol,1395,Cameron Winklevoss,cameron,https://twitterscore.s3.amazonaws.com/media/profiles/250980843.jpg,862.0,727778,,
koop-protocol,Koop Protocol,2018,DeeZe ⛳🏌️‍♂️,DeeZe,https://pbs.twimg.com/profile_images/1902173684149747712/zpm6QNQ6_normal.jpg,16598.0,274714,,
stacked,Stacked,607,tropoFarmer 🐧,tropoFarmer,https://pbs.twimg.com/profile_images/1547001359622438912/1tITuXmH_normal.png,9384.0,178176,,
stacked,Stacked,765,Andrew Steinwold,AndrewSteinwold,https://pbs.twimg.com/profile_images/1853456819223478272/q_42cb7g_normal.jpg,9201.0,71785,andrew-steinwold,
stacked,Stacked,879,SpiderCrypto 🧑‍🍳🧲,SpiderCrypto0x,https://pbs.twimg.com/profile_images/1881407589935628288/4L1lU0KQ_normal.jpg,11946.0,110770,,
stacked,Stacked,2374,DFarmer,OGDfarmer,https://pbs.twimg.com/profile_images/1886253088354308096/JctNkINM_normal.jpg,8452.0,119669,,
stacked,Stacked,18837,9GAGCEO ❤️ Memecoin,9gagceo,https://pbs.twimg.com/profile_images/1869108107898757120/gfiDocTe_normal.jpg,9291.0,1941954,,
xterio,Xterio,510,Matthew Graham,mattyryze,https://pbs.twimg.com/profile_images/1919737359005863936/aiiZ1nKP_normal.jpg,12593.0,82008,,
xterio,Xterio,686,dingaling,dingalingts,https://pbs.twimg.com/profile_images/1671535865145745410/DaM1zme1_normal.jpg,15239.0,255791,,
xterio,Xterio,887,nani🤍,naniXBT,https://pbs.twimg.com/profile_images/1909078344009723904/jmA4AyB__normal.jpg,12403.0,63526,nanixbt,
xterio,Xterio,889,Luca Netz 🐧✳️,LucaNetz,https://pbs.twimg.com/profile_images/1849498278255071232/drdvg74U_normal.jpg,17025.0,213669,luca-netz,
xterio,Xterio,47702,soby is on xai 🎮⛓️,soby0x,https://pbs.twimg.com/profile_images/1838945059800330240/kQ1hb7VU_normal.jpg,13407.0,83486,,
safe-new,Safe,505,Stani.eth,StaniKulechov,https://pbs.twimg.com/profile_images/1880993699661852672/RzdhDkv2_normal.jpg,19548.0,265529,stani-kulechov,
safe-new,Safe,526,Andrew Kang,Rewkang,https://pbs.twimg.com/profile_images/1786874758421983232/L06COzZ-_normal.jpg,22873.0,379942,andrew-kang,
safe-new,Safe,594,"smolting (wassie, verse)",inversebrah,https://pbs.twimg.com/profile_images/1812298915661623296/P0Yj0Xgq_normal.jpg,21840.0,357962,,
safe-new,Safe,596,loomdart - Holy War Arc,loomdart,https://pbs.twimg.com/profile_images/1890221706104508416/f_NKIFhr_normal.jpg,20440.0,321534,,
safe-new,Safe,605,6529,punk6529,https://pbs.twimg.com/profile_images/1784231403325943808/PBDWE07Y_normal.jpg,19236.0,488674,punk6529,
internet-game,Internet Game,610,foobar/,0xfoobar,https://pbs.twimg.com/profile_images/1745824328594214912/-P4ZBCue_normal.jpg,17822.0,172594,,
internet-game,Internet Game,611,Fred Ehrsam,FEhrsam,https://pbs.twimg.com/profile_images/1859783304792428544/nsMNLdjQ_normal.jpg,16682.0,224995,fred-ehrsam,
internet-game,Internet Game,1290,Santiago R Santos,santiagoroel,https://pbs.twimg.com/profile_images/1492672526656446467/uH5PD24j_normal.jpg,16776.0,126632,santiago-santos,
internet-game,Internet Game,2018,DeeZe ⛳🏌️‍♂️,DeeZe,https://pbs.twimg.com/profile_images/1902173684149747712/zpm6QNQ6_normal.jpg,16598.0,274714,,
internet-game,Internet Game,3373,0xMaki,0xMaki,https://pbs.twimg.com/profile_images/1737148253970534400/Up8-uZBz_normal.jpg,16441.0,79213,,
boba-network,Boba Network,526,Andrew Kang,Rewkang,https://pbs.twimg.com/profile_images/1786874758421983232/L06COzZ-_normal.jpg,22873.0,379942,andrew-kang,
boba-network,Boba Network,595,Ansem 🐂🀄️,blknoiz06,https://pbs.twimg.com/profile_images/1909437863592132608/R14kQm8j_normal.jpg,22604.0,724539,ansem,
boba-network,Boba Network,667,Balaji,balajis,https://pbs.twimg.com/profile_images/1406974882919813128/LOUb2m4R_normal.jpg,20957.0,1158399,balaji-srinivasan,
boba-network,Boba Network,759,Andre Cronje,AndreCronjeTech,https://pbs.twimg.com/profile_images/1895238831282028544/Cf5mbQcT_normal.jpg,20452.0,439153,andre-cronje,
