coinKey,coinName,raise,coinImage,fund_name,fund_key,fund_image,fund_tier,fund_type,fund_category,fund_category_slug,fund_totalInvestments
echooo,Echooo,15000000.0,https://img.cryptorank.io/coins/60x60.echooo1689757714307.png,A&T Capital,at-capital,https://img.cryptorank.io/funds/60x60.a_t_capital1658233240870.png,3.0,NORMAL,Venture,venture,32
echooo,Echooo,15000000.0,https://img.cryptorank.io/coins/60x60.echooo1689757714307.png,Skyview Capital,skyview-capital,https://img.cryptorank.io/funds/60x60.skyview_capital1689758006029.png,4.0,NORMAL,Venture,venture,2
clockwork,Clockwork ,4000000.0,https://img.cryptorank.io/coins/60x60.clockwork1661927220823.png,Multicoin Capital,multicoin-capital,https://img.cryptorank.io/funds/60x60.multicoin_capital1675419937276.png,1.0,LEAD,Venture,venture,144
clockwork,Clockwork ,4000000.0,https://img.cryptorank.io/coins/60x60.clockwork1661927220823.png,Asymmetric,asymmetric,https://img.cryptorank.io/funds/60x60.asymmetric1661929114801.png,3.0,LEAD,Venture,venture,19
clockwork,Clockwork ,4000000.0,https://img.cryptorank.io/coins/60x60.clockwork1661927220823.png,Solana Ventures,solana-ventures,https://img.cryptorank.io/funds/60x60.solana ventures1649333560224.png,2.0,NORMAL,Venture,venture,133
tokenproof,Tokenproof,5000000.0,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,Penny Jar Capital,penny-jar-capital,https://img.cryptorank.io/funds/60x60.penny_jar_capital1661930928041.png,3.0,LEAD,Venture,venture,2
tokenproof,Tokenproof,5000000.0,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,6th Man Ventures,6th-man-ventures,https://img.cryptorank.io/funds/60x60.6th_man_ventures1709564642143.png,2.0,NORMAL,Venture,venture,82
tokenproof,Tokenproof,5000000.0,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,Canonical Crypto,canonical-crypto,https://img.cryptorank.io/funds/60x60.canonical_crypto1742819744303.png,3.0,NORMAL,Venture,venture,21
tokenproof,Tokenproof,5000000.0,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,Corazon Capital,corazon-capital,https://img.cryptorank.io/funds/60x60.corazon_capital1661932433331.png,3.0,NORMAL,Venture,venture,3
tokenproof,Tokenproof,5000000.0,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,Sebastien Borget,sebastien-borget,https://img.cryptorank.io/funds/60x60.sebastien_borget1684920351192.png,,NORMAL,Angel Investor,angel-investor,52
tokenproof,Tokenproof,5000000.0,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,Mark Cuban,mark-cuban,https://img.cryptorank.io/funds/60x60.mark_cuban1694854693557.png,,NORMAL,Angel Investor,angel-investor,32
tokenproof,Tokenproof,5000000.0,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,Patricio Worthalter,pworthalter,https://img.cryptorank.io/funds/60x60.patricio_worthalter1731489005943.png,,NORMAL,Angel Investor,angel-investor,11
tokenproof,Tokenproof,5000000.0,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,Keith Grossman,keith-grossman,https://img.cryptorank.io/funds/60x60.keith_grossman1668566061400.png,,NORMAL,Angel Investor,angel-investor,3
ethermail,EtherMail,3000000.0,https://img.cryptorank.io/coins/60x60.ether_mail1661943329892.png,Fabric Ventures,fabric-ventures,https://img.cryptorank.io/funds/60x60.fabric_ventures1724223679552.png,2.0,LEAD,Venture,venture,74
ethermail,EtherMail,3000000.0,https://img.cryptorank.io/coins/60x60.ether_mail1661943329892.png,Greenfield Capital,greenfield-one,https://img.cryptorank.io/funds/60x60.greenfield_capital1692282349590.png,2.0,LEAD,Venture,venture,42
unlockd,Unlockd,4440000.0,https://img.cryptorank.io/coins/60x60.unlockd1661952329121.png,Blockchain Capital,blockchain-capital,https://img.cryptorank.io/funds/60x60.blockchain capital1648497425517.png,1.0,LEAD,Venture,venture,120
