coinKey,coinName,coinImage,raise,stage,date,valuation,followersCount,twitterScore,status,isHidden,country_name,country_key,category_name,category_key
redotpay,RedotPay,https://img.cryptorank.io/coins/60x60.redot_pay1741937484272.png,40000000.0,SERIES A,2025-03-14T00:00:00.000Z,,85708.0,649.0,not traded,False,Hong Kong,HK,Blockchain Service,blockchain-service
talus-network,Talus Network,https://img.cryptorank.io/coins/60x60.talus_network1708960712588.png,6000000.0,STRATEGIC,2024-11-26T00:00:00.000Z,150000000.0,95839.0,2131.0,not traded,False,United States,US,Blockchain Service,blockchain-service
opside,Lumoz,https://img.cryptorank.io/coins/60x60.opside1680775134463.png,,STRATEGIC,2024-11-26T00:00:00.000Z,,,,traded,False,,,Blockchain Infrastructure,blockchain-infrastructure
mento,Mento,https://img.cryptorank.io/coins/60x60.mento1729152035508.png,10000000.0,Undisclosed,2024-10-16T00:00:00.000Z,,,,not traded,False,,,DeFi,defi
tsfc,TSFC,https://img.cryptorank.io/coins/60x60.tsfc1728307886735.png,,Undisclosed,2024-10-07T00:00:00.000Z,,41513.0,0.0,not traded,False,,,CeFi,ce-fi
palette,Palette,https://img.cryptorank.io/coins/60x60.palette1641801663092.png,,M&A,2024-10-03T00:00:00.000Z,,93887.0,133.0,,False,,,Social,social
moonray,Moonray,https://img.cryptorank.io/coins/60x60.moonray1669093007937.png,4750000.0,Undisclosed,2024-10-03T00:00:00.000Z,,175202.0,1445.0,traded,False,United States,US,GameFi,gamefi
fhenix,Fhenix,https://img.cryptorank.io/coins/60x60.fhenix1695737384486.png,15000000.0,SERIES A,2024-06-04T00:00:00.000Z,,24045.0,1759.0,not traded,False,,,Chain,chain
cookiedao,Cookie DAO,https://img.cryptorank.io/coins/60x60.cookie_dao1733155420086.png,3300000.0,STRATEGIC,2024-06-04T00:00:00.000Z,,109207.0,4803.0,traded,False,Estonia,EE,Blockchain Service,blockchain-service
sansa,Sansa,https://img.cryptorank.io/coins/60x60.sansa1728301114462.png,,M&A,2024-01-31T00:00:00.000Z,,3051.0,1121.0,not traded,False,,,NFT,non-fungible-tokens-nft
game-on,GameOn,https://img.cryptorank.io/coins/60x60.game_on1717395578204.png,,Grant,2023-11-28T00:00:00.000Z,,109995.0,11.0,traded,False,Canada,CA,GameFi,gamefi
toncoin,Toncoin,https://img.cryptorank.io/coins/60x60.toncoin1732533613281.png,,Undisclosed,2023-11-28T00:00:00.000Z,,,,traded,False,Italy,IT,Chain,chain
myx-finance,MYX Finance,https://img.cryptorank.io/coins/60x60.myx_finance1701176371968.png,5000000.0,SEED,2023-11-28T00:00:00.000Z,,222020.0,508.0,not traded,False,,,DeFi,defi
intentx,IntentX,https://img.cryptorank.io/coins/60x60.intent_x1700642634517.png,2500000.0,SEED,2023-11-21T00:00:00.000Z,,38556.0,2851.0,,False,,,DeFi,defi
