TYPE,ID,GUID,PUBLISHED_ON,IMAGE_URL,TITLE,URL,SOURCE_ID,BODY,KEYWORDS,LANG,UPVOTES,DOWNVOTES,SCORE,SENTIMENT,STATUS,CREATED_ON,UPDATED_ON,CATEGORY_DATA,SOURCE_DATA_TYPE,SOURCE_DATA_ID,SOURCE_DATA_SOURCE_KEY,SOURCE_DATA_NAME,SOURCE_DATA_IMAGE_URL,SOURCE_DATA_URL,SOURCE_DATA_LANG,SOURCE_DATA_SOURCE_TYPE,SOURCE_DATA_LAUNCH_DATE,SOURCE_DATA_SORT_ORDER,SOURCE_DATA_BENCHMARK_SCORE,SOURCE_DATA_STATUS,SOURCE_DATA_LAST_UPDATED_TS,SOURCE_DATA_CREATED_ON,SOURCE_DATA_UPDATED_ON
121,40794385,https://en.coinotag.com/michael-saylor-proposes-regulatory-reforms-for-bitcoin-as-sec-task-force-engages-with-crypto-industry/,1740444198,https://resources.cryptocompare.com/news/77/40794385.jpeg,Michael Saylor Proposes Regulatory Reforms for Bitcoin as SEC Task Force Engages with Crypto Industry,https://en.coinotag.com/michael-saylor-proposes-regulatory-reforms-for-bitcoin-as-sec-task-force-engages-with-crypto-industry/,77,Regulatory discussions are heating up in the crypto space as Strategy CEO Michael Saylor meets with U.S. regulators to propose fundamental changes. With the SEC beginning to ease its enforcement,News|BTC,EN,0,0,0,POSITIVE,ACTIVE,1740444247,1740444248.0,"[{'TYPE': '122', 'ID': 14, 'NAME': 'BTC', 'CATEGORY': 'BTC'}, {'TYPE': '122', 'ID': 41, 'NAME': 'REGULATION', 'CATEGORY': 'REGULATION'}]",120,77,coinotag,CoinOtag,https://resources.cryptocompare.com/news/77/default.png,https://en.coinotag.com/feed/,EN,RSS,,0,0,ACTIVE,1740444033,1686819961,1717748924
121,40794323,https://decrypt.co/?p=307566,1740444056,https://resources.cryptocompare.com/news/44/40794323.jpeg,Strategy CEO Michael Saylor Pitches Regulations Reform to SEC Crypto Task Force,https://decrypt.co/307566/strategy-ceo-michael-saylor-pitches-regulations-reform-to-sec-crypto-task-force,44,"At a meeting with regulators, Saylor proposed ways to reduce costs and time constraints on crypto firms, among other regulatory reforms.",Law and Order,EN,0,0,0,NEUTRAL,ACTIVE,1740444129,1740444130.0,"[{'TYPE': '122', 'ID': 41, 'NAME': 'REGULATION', 'CATEGORY': 'REGULATION'}]",120,44,decrypt,Decrypt,https://images.cryptocompare.com/news/default/decrypt.png,https://decrypt.co/feed,EN,RSS,1521331200.0,0,57,ACTIVE,1740444022,1657730129,1711620560
121,40794521,https://en.bitcoinsistemi.com/?p=151315,1740444002,https://resources.cryptocompare.com/news/81/40794521.jpeg,Will MAGACOINOFFICIAL.COM Overtake XRP and SOLANA? Investors Are Jumping In!,https://en.bitcoinsistemi.com/will-magacoinofficial-com-overtake-xrp-and-solana-investors-are-jumping-in/,81,"A New Crypto Contender Is Emerging The crypto market is full of surprises, and while XRP and Solana (SOL) continue to be top choices, a new name is stealing the spotlight—MAGACOINOFFICIAL.COM. This project is already proving its potential, with over $2 million raised in presale, and investors are taking notice. Unlike established assets that have already seen massive growth, DON’T WAIT! APPLY “MAGA50X” NOW FOR A 50% BONUS BEFORE PRESALE ENDS! What Makes MAGACOINOFFICIAL.COM the Crypto to Watch? MAGACOINOFFICIAL.COM is still in its early phase, meaning those who get in now could see the biggest returns. As exchange listings approach and FOMO kicks in, demand is soaring, making this one of the most exciting opportunities in 2025. Unmatched Growth Potential – Analysts are predicting up to 50,000% in potential gains. Presale Success – Already over $2 million raised, showing massive investor confidence. Limited Availability – Only available at MAGACOINOFFICIAL.COM , meaning early adopters get the best entry price. >> DON’T MISS THE NEXT 1000X CRYPTO – CLICK HERE TO JOIN NOW! How These Altcoins Compare XRP: A dominant force in cross-border payments, but its legal battles have slowed investor excitement. Chainlink (LINK): A key player in blockchain oracles, helping smart contracts interact with real-world data. Kaspa (KAS): A promising blockchain using blockDAG technology to enhance transaction speeds. Polkadot (DOT): Built for cross-chain functionality, making it a strong contender in blockchain interoperability. Why Early Investors Are Jumping In Now The biggest winners in crypto are those who buy before mainstream adoption hits, and MAGACOINOFFICIAL.COM is still in the presale stage. As listings approach and investor interest grows, this could be one of the most profitable moves in 2025. ACT FAST! USE PROMO CODE MAGA50X NOW AND CLAIM YOUR 50% EXTRA BONUS! Act Now—This Could Be Your Last Chance! With millions already raised and a limited number of presale tokens available, waiting could mean missing out on one of the best early-stage crypto plays of the year. Now is the time to act before prices surge! DON’T MISS OUT – CLAIM YOUR 50% BONUS NOW AT MAGACOINOFFICIAL.COM WITH CODE “MAGA50X” ! Website: MAGACOINOFFICIAL.COM X/Twitter: https://x.com/officialMAGAx Continue Reading: Will MAGACOINOFFICIAL.COM Overtake XRP and SOLANA? Investors Are Jumping In!",Sponsored,EN,0,0,0,POSITIVE,ACTIVE,1740444486,1740444486.0,"[{'TYPE': '122', 'ID': 13, 'NAME': 'BLOCKCHAIN', 'CATEGORY': 'BLOCKCHAIN'}, {'TYPE': '122', 'ID': 15, 'NAME': 'BUSINESS', 'CATEGORY': 'BUSINESS'}, {'TYPE': '122', 'ID': 21, 'NAME': 'DOT', 'CATEGORY': 'DOT'}, {'TYPE': '122', 'ID': 58, 'NAME': 'XRP', 'CATEGORY': 'XRP'}, {'TYPE': '122', 'ID': 62, 'NAME': 'ZRX', 'CATEGORY': 'ZRX'}]",120,81,bitcoinsistemi,BitcoinSistemi,https://resources.cryptocompare.com/news/81/default.png,https://en.bitcoinsistemi.com/feed/,EN,RSS,,0,0,ACTIVE,1740444047,1692873798,1692873836
121,40794118,https://coingape.com/?p=240756,1740443770,https://images.cryptocompare.com/news/default/coingape.png,Shiba Inu Price Battles Support Levels With Bulls Eyeing a 400% Surge,https://coingape.com/shiba-inu-price-battles-support-levels-with-bulls-eyeing-a-400-surge/,36,"Shiba Inu (SHIB) price is facing a challenging market environment as bearish trends dominate the meme coin. Over the past month, SHIB price has experienced a decline, reflecting concerns within the crypto market. Despite temporary rebounds, the token has struggled to maintain upward momentum, with key technical indicators suggesting persistent selling pressure. However, some analysts believe that an emerging bullish pattern could signal a major reversal, with projections suggesting a potential 400% surge if key support levels hold. Shiba Inu Price Drops, Analysts Spot Signs of a Possible Reversal According to a recent analysis, Shiba Inu price has seen a drop of 29% over the past month, reflecting the overall downtrend in the crypto market. Currently trading at $0.00001476, SHIB’s market capitalization stands at approximately $8.7 billion. Despite a slight rebound in the past 24 hours, the general market sentiment around SHIB remains bearish. Large transactions on the Shiba Inu network have decreased by over 80% in the last 12 weeks, indicating a lack of trust among major investors. On the other hand, analysts have pointed to the emergence of a potential Inverse Head & Shoulders pattern. This pattern could indicate a reversal in the meme coin price direction. If this pattern holds, SHIB could experience a 400% surge, bringing its value to around $0.000081. However, experts caution that such projections must be interpreted carefully, given the overall uncertainty in the meme coin market. More so, the latest burn activity has fueled optimism among traders anticipating a 300% meme coin rally . A 120.3% increase in the weekly burn rate suggests reduced supply, which could drive demand higher. If momentum sustains, Shiba Inu price may attempt a breakout. Technical Indicators Suggest Bearish Momentum Shiba Inu price drop coincides with an 80% decline in large whale transactions over the past 12 weeks. This sharp decrease in whale participation is a sign of declining confidence in Shiba Inu, which could further contribute to short-term market instability. As the crypto market faces broader bearish trends, SHIB’s ability to maintain its levels at critical support levels is crucial for its recovery. From a technical perspective, the Bollinger Bands have widened, signaling increased volatility in SHIB price action. The price is currently below the middle band, which typically suggests a bearish market momentum. Additionally, the MACD indicator remains in negative territory, with the MACD line positioned below the signal line, reinforcing the downward trend. The histogram also shows a continued decline in bullish momentum. These indicators point to the continued pressure on SHIB price, although the lower Bollinger Band could support buying recovery. Source: TradingView Meme Coin Must Defend $0.000011 Support The price of Shiba Inu faces a critical test as it approaches essential support levels. The primary support level at $0.000011 has become a key threshold for SHIB’s short-term future. A break below this support could lead to a further decline in the meme coin price. Conversely, if SHIB can hold above this support level, there may be an opportunity for the bulls to re-enter, and a reversal could be possible. With the broader market facing bearish pressure, SHIB’s ability to stabilize and defend key levels will determine whether the top meme coin can rebound or face further losses. The post Shiba Inu Price Battles Support Levels With Bulls Eyeing a 400% Surge appeared first on CoinGape .",24/7 Cryptocurrency News|Altcoin News|Meme Coins|Shiba Inu (SHIB) PRICE,EN,0,0,0,NEUTRAL,ACTIVE,1740443790,,"[{'TYPE': '122', 'ID': 15, 'NAME': 'BUSINESS', 'CATEGORY': 'BUSINESS'}, {'TYPE': '122', 'ID': 37, 'NAME': 'MARKET', 'CATEGORY': 'MARKET'}, {'TYPE': '122', 'ID': 44, 'NAME': 'SHIB', 'CATEGORY': 'SHIB'}, {'TYPE': '122', 'ID': 50, 'NAME': 'TRADING', 'CATEGORY': 'TRADING'}]",120,36,coingape,CoinGape,https://images.cryptocompare.com/news/default/coingape.png,https://coingape.com/feed/,EN,RSS,1504224000.0,0,60,ACTIVE,1740444012,1657730129,1738248754
121,40794151,https://en.coin-turk.com/?p=183671,1740443751,https://resources.cryptocompare.com/news/79/40794151.jpeg,Changpeng Zhao Shares His Crypto Portfolio: A Bold Move Towards Transparency,https://en.coin-turk.com/changpeng-zhao-shares-his-crypto-portfolio-a-bold-move-towards-transparency/,79,"Changpeng Zhao has shared his crypto portfolio, emphasizing transparency. His portfolio is heavily weighted towards BNB, showing confidence in Binance. Continue Reading: Changpeng Zhao Shares His Crypto Portfolio: A Bold Move Towards Transparency The post Changpeng Zhao Shares His Crypto Portfolio: A Bold Move Towards Transparency appeared first on COINTURK NEWS .",Binance,EN,0,0,0,POSITIVE,ACTIVE,1740443805,1740443806.0,"[{'TYPE': '122', 'ID': 25, 'NAME': 'EXCHANGE', 'CATEGORY': 'EXCHANGE'}, {'TYPE': '122', 'ID': 74, 'NAME': 'BNB', 'CATEGORY': 'BNB'}]",120,79,cointurken,CoinTurk News,https://resources.cryptocompare.com/news/79/default.png,https://en.coin-turk.com/feed/,EN,RSS,,0,0,ACTIVE,1740444023,1689939795,1690273097
121,40794107,https://en.coinotag.com/crypto-leaders-urge-sec-to-broaden-etf-approval-for-altcoins-and-meme-coins/,1740443647,https://resources.cryptocompare.com/news/77/40794107.jpeg,Crypto Leaders Urge SEC to Broaden ETF Approval for Altcoins and Meme Coins,https://en.coinotag.com/crypto-leaders-urge-sec-to-broaden-etf-approval-for-altcoins-and-meme-coins/,77,"In a significant push for regulatory changes, crypto leaders are urging the SEC to revisit its ETF approval criteria, potentially changing the landscape for digital assets. During a recent meeting,",News,EN,0,0,0,POSITIVE,ACTIVE,1740443714,1740443715.0,"[{'TYPE': '122', 'ID': 5, 'NAME': 'ALTCOIN', 'CATEGORY': 'ALTCOIN'}, {'TYPE': '122', 'ID': 41, 'NAME': 'REGULATION', 'CATEGORY': 'REGULATION'}]",120,77,coinotag,CoinOtag,https://resources.cryptocompare.com/news/77/default.png,https://en.coinotag.com/feed/,EN,RSS,,0,0,ACTIVE,1740444033,1686819961,1717748924
121,40794150,https://www.cryptopolitan.com/?p=681701,1740443602,https://resources.cryptocompare.com/news/43/40794150.jpeg,"Montana Bitcoin reserve fund voted down, making it the 5th state to consider, reject it",https://www.cryptopolitan.com/montana-bitcoin-reserve-fund-voted-down-making-it-the-5th-state-to-consider-reject-it/,43,"A proposal in the Montana House of Representatives to introduce a state Bitcoin reserve fund has failed. The Inflation Protection Act, as it was called, was passed by the House Business and Labor Committee, but voted down by the full House on its second reading on Feb. 22. The bill would have established a special revenue account for the state’s Board of Investments to invest in precious metals and digital assets. It was introduced by Republican representative Curtis Schomer on Feb. 7 without Democratic support. The fund received a nonpartisan rejection The final vote was not along party lines, however, with 16 Republicans opposing it and one Democrat voting yea. The final vote was 41 for and 59 against. The bill was two pages long. It would have allowed transfers from the state’s general fund into the state’s Inflation Protection Act special fund by the legislature with a maximum of $50 million. The bill would have left revenue from the account in the account and given the state legislature control over the money in the account. Digital assets would have to have a market cap of $750 billion to be eligible for investment under the bill. In other words, the bill would authorize investment in Bitcoin, as it is the only qualifying digital asset. The debate over the bill focused on whether or not the fund was a worthy use of taxpayers’ money, with proponents saying it was a way to optimize state funds. Opponents called the bill speculative and risky. “I am not signing on to that stuff [cryptocurrency] and I can’t imagine a majority of your constituents want you to,” Republican Bill Mercer told the assembly. There is another law affecting cryptocurrency currently before the Montana legislature. An Act Revising Cryptocurrency Laws would prohibit the state from participating in testing a central bank digital currency and legalize the payment of taxes in cryptocurrency. It also protects mining and staking and exempts certain tokens from state security laws. Montana passed a law in 2023 to protect crypto mining in the state. The law prohibits discriminatory utility rates for crypto miners and prevents local governments from “exercising powers related to digital asset mining.” It also defines digital assets as personal property and prohibits taxation of cryptocurrency used as a method of payment. Federal digital asset fund may be created The so-called White House crypto czar, David Sacks, has confirmed in a press conference that a national Bitcoin reserve would be considered . Many states have pulled far ahead of the federal government. According to Bitcoinlaws.com, 18 states currently have cryptocurrency reserve fund proposals. Utah is the furthest ahead. Its Blockchain and Digital Innovation Amendments bill has made it through the House and is up for its second reading in the Senate. Montana joins North Dakota, Pennsylvania, South Dakota and Wyoming as states that have voted down cryptocurrency reserves. Montana’s four federal legislators are all strong supporters of crypto. Cryptopolitan Academy: Coming Soon - A New Way to Earn Passive Income with DeFi in 2025. Learn More",News|Bitcoin reserve,EN,0,0,0,NEGATIVE,ACTIVE,1740443804,1740443805.0,"[{'TYPE': '122', 'ID': 14, 'NAME': 'BTC', 'CATEGORY': 'BTC'}, {'TYPE': '122', 'ID': 15, 'NAME': 'BUSINESS', 'CATEGORY': 'BUSINESS'}, {'TYPE': '122', 'ID': 26, 'NAME': 'FIAT', 'CATEGORY': 'FIAT'}, {'TYPE': '122', 'ID': 39, 'NAME': 'MINING', 'CATEGORY': 'MINING'}, {'TYPE': '122', 'ID': 41, 'NAME': 'REGULATION', 'CATEGORY': 'REGULATION'}]",120,43,cryptopolitan,Cryptopolitan,https://images.cryptocompare.com/news/default/cryptopolitan.png,https://www.cryptopolitan.com/feed/,EN,RSS,,0,0,ACTIVE,1740444021,1657730129,1681205909
121,40794010,https://news.bitcoin.com/?p=707523,1740443503,https://resources.cryptocompare.com/news/14/40794010.jpeg,"Trump’s Tariff Gambit Rattles Markets: Bitcoin Tumbles to a $91,362 Intraday Low",https://news.bitcoin.com/trumps-tariff-gambit-rattles-markets-bitcoin-tumbles-to-a-91362-intraday-low/,14,"Bitcoin’s price tumbled Monday evening around 6 p.m. ET after news spread that U.S. President Donald Trump announced plans to impose a 25% tariff on Canadian and Mexican imports, set to take effect March 4, 2025. The development aligned with afternoon drops in major U.S. stock indices, as investors weighed concerns about earnings from the",Markets and Prices|Bitcoin (BTC)|Prices,EN,0,0,0,NEGATIVE,ACTIVE,1740443569,1740443570.0,"[{'TYPE': '122', 'ID': 14, 'NAME': 'BTC', 'CATEGORY': 'BTC'}, {'TYPE': '122', 'ID': 15, 'NAME': 'BUSINESS', 'CATEGORY': 'BUSINESS'}, {'TYPE': '122', 'ID': 37, 'NAME': 'MARKET', 'CATEGORY': 'MARKET'}, {'TYPE': '122', 'ID': 41, 'NAME': 'REGULATION', 'CATEGORY': 'REGULATION'}, {'TYPE': '122', 'ID': 50, 'NAME': 'TRADING', 'CATEGORY': 'TRADING'}]",120,14,bitcoin.com,Bitcoin.com,https://images.cryptocompare.com/news/default/bitcoincom.png,https://news.bitcoin.com/feed/,EN,RSS,1438387200.0,0,51,ACTIVE,1740444014,1657730129,1711621233
121,40794032,https://coinpedia.org/?p=424453,1740443496,https://images.cryptocompare.com/news/default/coinpedia.png,XLM Price Crash Alert! 35% Drop Incoming as Daily Chart Flashes Bearish Signal,https://coinpedia.org/news/xlm-price-crash-alert-35-drop-incoming-as-daily-chart-flashes-bearish-signal/,53,"The post XLM Price Crash Alert! 35% Drop Incoming as Daily Chart Flashes Bearish Signal appeared first on Coinpedia Fintech News With the ongoing market decline, XLM, the native token of Stellar, has turned bearish and is poised for a significant price drop. The primary reason for this bearish outlook is the current market sentiment and the price action XLM has formed on the daily timeframe. Current Price Momentum XLM is currently trading near $0.297 and has experienced a price drop of over 12% in the past 24 hours. However, during the same period, its trading volume jumped by 120%, indicating heightened participation from traders and investors compared to the previous day. This jump in trading volume is potentially caused by the shift in market sentiment and XLM’s bearish outlook. XLM Technical Analysis and Upcoming Level According to expert technical analysis, XLM appears bearish as it has broken through the crucial support level of $0.311, which the asset tested multiple times in recent days. Additionally, it closed a daily candle below this level, partially confirming that the price is poised to continue its decline. Source: Trading View With this breakdown and candle closing, there is a strong possibility that the asset could drop by 35% to reach the $0.189 mark in the coming days. Meanwhile, during the price drop, XLM may find temporary support at the $0.25 mark before reaching $0.189. Despite the breakdown of the crucial support, XLM’s price remains above the 200 Exponential Moving Average (EMA) on the daily timeframe, which currently acts as a support level. If the asset breaches the 200 EMA and falls below it, there is a high possibility that XLM’s price will continue declining smoothly to that level in the coming days. $6.75 Million Worth Bets on Short Side With the notable price drop and recent breakdown, sentiment has completely shifted as intraday traders appear to be strongly backing short positions, according to on-chain analytics firm Coinglass . Data from the XLM exchange liquidation map shows that bears, or traders betting on short positions, are currently dominating the asset. Meanwhile, with the recent price drop, traders betting on long positions seem to be exhausted. Source: Coinglass Based on recent data, $0.3321 is a level where traders betting on short positions are over-leveraged, holding $6.75 million worth of short positions. Meanwhile, $0.2821 is another level where traders betting on long positions are over-leveraged, holding $1.10 million worth of long positions. This liquidation data and over-leveraged positions indicate that bears are currently dominating the asset and could push XLM’s price toward the $0.189 level soon.",News|Crypto news|Price Analysis,EN,0,0,0,NEGATIVE,ACTIVE,1740443581,,"[{'TYPE': '122', 'ID': 15, 'NAME': 'BUSINESS', 'CATEGORY': 'BUSINESS'}, {'TYPE': '122', 'ID': 25, 'NAME': 'EXCHANGE', 'CATEGORY': 'EXCHANGE'}, {'TYPE': '122', 'ID': 37, 'NAME': 'MARKET', 'CATEGORY': 'MARKET'}, {'TYPE': '122', 'ID': 50, 'NAME': 'TRADING', 'CATEGORY': 'TRADING'}, {'TYPE': '122', 'ID': 56, 'NAME': 'XLM', 'CATEGORY': 'XLM'}]",120,53,coinpedia,coinpedia,https://images.cryptocompare.com/news/default/coinpedia.png,https://coinpedia.org/feed/,EN,RSS,1404691200.0,0,46,ACTIVE,1740444021,1657730129,1711621282
121,40794638,https://thedefiant.io/news/cefi/bybit-said-it-closed-usd1-5b-gap-left-after-largest-crypto-exploit-in-history,1740443492,https://resources.cryptocompare.com/news/101/40794638.jpeg,Bybit Said it Closed $1.5B Gap Left After Largest Crypto Exploit in History,https://thedefiant.io/news/cefi/bybit-said-it-closed-usd1-5b-gap-left-after-largest-crypto-exploit-in-history,101,"Bybit CEO Ben Zhou said the exchange has recovered its ETH reserves after a $1.5 billion exploit on Feb. 21. “Latest Update: Bybit has already fully closed the ETH gap, new audited POR report will be published very soon to show that Bybit is again Back to 100% 1:1 on client assets through merkle tree, Stay tuned,” Zhou said in an X post . According to Lookonchain data , Bybit replaced most of the stolen funds through loans from other crypto exchanges, whale deposits, and additional ETH purchases. To continue reading this as well as other DeFi and Web3 news, visit us at thedefiant.io",,EN,0,0,0,POSITIVE,ACTIVE,1740444699,1740444699.0,"[{'TYPE': '122', 'ID': 24, 'NAME': 'ETH', 'CATEGORY': 'ETH'}, {'TYPE': '122', 'ID': 25, 'NAME': 'EXCHANGE', 'CATEGORY': 'EXCHANGE'}]",120,101,thedefiant,The Defiant,https://resources.cryptocompare.com/news/101/default.png,https://thedefiant.io/api/feed,EN,RSS,1592697600.0,0,0,ACTIVE,1740444048,1719064949,1719065000
