name,icon,date,raise,fund_name,fund_image,stage
Echooo,https://img.cryptorank.io/coins/60x60.echooo1689757714307.png,2023-07-17T00:00:00.000Z,15000000,A&T Capital,https://img.cryptorank.io/funds/60x60.a_t_capital1658233240870.png,Undisclosed
Clockwork ,https://img.cryptorank.io/coins/60x60.clockwork1661927220823.png,2022-08-30T00:00:00.000Z,4000000,Multicoin Capital,https://img.cryptorank.io/funds/60x60.multicoin_capital1675419937276.png,SEED
Tokenproof,https://img.cryptorank.io/coins/60x60.tokenproof1661933031363.png,2022-08-30T00:00:00.000Z,5000000,Penny Jar Capital,https://img.cryptorank.io/funds/60x60.penny_jar_capital1661930928041.png,SEED
EtherMail,https://img.cryptorank.io/coins/60x60.ether_mail1661943329892.png,2022-08-11T00:00:00.000Z,3000000,Fabric Ventures,https://img.cryptorank.io/funds/60x60.fabric_ventures1724223679552.png,SEED
Unlockd,https://img.cryptorank.io/coins/60x60.unlockd1661952329121.png,2022-08-18T00:00:00.000Z,4440000,Blockchain Capital,https://img.cryptorank.io/funds/60x60.blockchain capital1648497425517.png,SEED
Sei,https://img.cryptorank.io/coins/60x60.sei_network1661962346631.png,2022-08-31T00:00:00.000Z,5000000,Multicoin Capital,https://img.cryptorank.io/funds/60x60.multicoin_capital1675419937276.png,SEED
GoGoPool,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,2022-08-31T00:00:00.000Z,5000000,Framework Ventures,https://img.cryptorank.io/funds/60x60.framework ventures1648565125587.png,SEED
PROOF,https://img.cryptorank.io/coins/60x60.proof1661967654411.png,2022-08-30T00:00:00.000Z,50000000,Andreessen Horowitz (a16z),https://img.cryptorank.io/funds/60x60.andreessen horowitz (a16z)1648484432797.png,SERIES A
Koop Protocol,https://img.cryptorank.io/coins/60x60.koop_protocol1661968847188.png,2022-08-31T00:00:00.000Z,5000000,Variant,https://img.cryptorank.io/funds/60x60.variant1653903740447.png,SEED
Stacked,https://img.cryptorank.io/coins/60x60.stacked1662020293701.png,2022-08-31T00:00:00.000Z,12900000,Pantera Capital,https://img.cryptorank.io/funds/60x60.pantera capital1648480190185.png,SERIES A
Arbitrum,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,2019-04-03T00:00:00.000Z,3700000,Pantera Capital,https://img.cryptorank.io/funds/60x60.pantera capital1648480190185.png,SEED
Arbitrum,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,2021-08-31T00:00:00.000Z,120000000,Lightspeed Venture Partners,https://img.cryptorank.io/funds/60x60.lightspeed_venture_partners1657880471226.png,SERIES B
Xterio,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,2022-08-30T00:00:00.000Z,40000000,Makers Fund,https://img.cryptorank.io/funds/60x60.makers_fund1657892642960.png,Undisclosed
Limit Break,https://img.cryptorank.io/coins/60x60.limit_break1662135559113.png,2022-08-29T00:00:00.000Z,200000000,Paradigm,https://img.cryptorank.io/funds/60x60.paradigm capital1648561644615.png,Undisclosed
Safe,https://img.cryptorank.io/coins/60x60.safe1662534966170.png,2022-07-12T00:00:00.000Z,100000000,1kx,https://img.cryptorank.io/funds/60x60.1_kx1680104859372.png,STRATEGIC
Internet Game,https://img.cryptorank.io/coins/60x60.internet_game1662375977635.png,2022-09-03T00:00:00.000Z,7000000,DragonFly Capital,https://img.cryptorank.io/funds/60x60.dragon_fly_capital1660640000289.png,SEED
Boba Network,https://img.cryptorank.io/coins/60x60.boba_network1693390230795.png,2022-04-05T00:00:00.000Z,45000000,Shima Capital,https://img.cryptorank.io/funds/60x60.shima capital1649326068961.png,SERIES A
Oasys,https://img.cryptorank.io/coins/60x60.oasys1704798541125.png,2022-07-06T00:00:00.000Z,20000000,Republic Capital,https://img.cryptorank.io/funds/60x60.republic_capital1662383289058.png,Private Token Sale
Silence Laboratories,https://img.cryptorank.io/coins/60x60.silence_laboratories1709219267016.png,2022-08-31T00:00:00.000Z,1700000,Pi Ventures,https://img.cryptorank.io/funds/60x60.pi_ventures1662381848617.png,SEED
Injective,https://img.cryptorank.io/coins/60x60.injective1738682839253.png,2022-08-10T00:00:00.000Z,40000000,Jump Crypto,https://img.cryptorank.io/funds/60x60.jump_crypto1660216112246.png,Undisclosed
Zecrey Protocol,https://img.cryptorank.io/coins/60x60.zecrey_protocol1662386408145.png,2022-03-11T00:00:00.000Z,4000000,The Spartan Group,https://img.cryptorank.io/funds/60x60.the_spartan_group1729584485534.png,SEED
Zecrey Protocol,https://img.cryptorank.io/coins/60x60.zecrey_protocol1662386408145.png,2022-05-17T00:00:00.000Z,6000000,YZi Labs (Prev. Binance Labs),https://img.cryptorank.io/funds/60x60.y_zi_labs_prev_binance_labs1737641288277.png,STRATEGIC
Scroll,https://img.cryptorank.io/coins/60x60.scroll1693474620599.png,2022-04-21T00:00:00.000Z,30000000,Polychain Capital,https://img.cryptorank.io/funds/60x60.polychain_capital1680073683609.png,SERIES A
RedStone,https://img.cryptorank.io/coins/60x60.red_stone1662392438160.png,2022-08-30T00:00:00.000Z,7000000,Lemniscap,https://img.cryptorank.io/funds/60x60.lemniscap1652176680463.png,SEED
Blockdaemon,https://img.cryptorank.io/coins/60x60.blockdaemon1662392391341.png,2021-06-08T00:00:00.000Z,28000000,Greenspring Associates,https://img.cryptorank.io/funds/60x60.greenspring_associates1662394574281.png,SERIES A
Dust Labs,https://img.cryptorank.io/coins/60x60.dust_labs1662457269130.png,2022-09-06T00:00:00.000Z,7000000,Solana Ventures,https://img.cryptorank.io/funds/60x60.solana ventures1649333560224.png,SEED
Metaverse Magna,https://img.cryptorank.io/coins/60x60.metaverse_magna1662463411223.png,2022-09-05T00:00:00.000Z,3200000,HashKey Capital,https://img.cryptorank.io/funds/60x60.hashkey capital1648749705706.png,SEED
Swim Protocol,https://img.cryptorank.io/coins/60x60.swim_protocol1662474784488.png,2022-03-09T00:00:00.000Z,4000000,Pantera Capital,https://img.cryptorank.io/funds/60x60.pantera capital1648480190185.png,SEED
Fuel Network,https://img.cryptorank.io/coins/60x60.fuel_network1679998086098.png,2022-09-06T00:00:00.000Z,80000000,Blockchain Capital,https://img.cryptorank.io/funds/60x60.blockchain capital1648497425517.png,STRATEGIC
Credix,https://img.cryptorank.io/coins/60x60.credix1662490106319.png,2022-09-06T00:00:00.000Z,11000000,ParaFi Capital,https://img.cryptorank.io/funds/60x60.para_fi_capital1724223633114.png,SERIES A
21.co,https://img.cryptorank.io/coins/60x60.21_co1662493395086.png,2022-09-06T00:00:00.000Z,25000000,Marshall Wace,https://img.cryptorank.io/funds/60x60.marshall_wace1662493238290.png,Undisclosed
zkSync,https://img.cryptorank.io/coins/60x60.zk_sync1689072711750.png,2021-11-08T00:00:00.000Z,50000000,Andreessen Horowitz (a16z),https://img.cryptorank.io/funds/60x60.andreessen horowitz (a16z)1648484432797.png,SERIES B
Luabase,https://img.cryptorank.io/coins/60x60.luabase1662556671832.png,2022-08-30T00:00:00.000Z,4500000,6th Man Ventures,https://img.cryptorank.io/funds/60x60.6th_man_ventures1709564642143.png,Undisclosed
GammaX,https://img.cryptorank.io/coins/60x60.gamma_x1662564859375.png,2022-08-29T00:00:00.000Z,4000000,Dexterity Capital,https://img.cryptorank.io/funds/60x60.dexterity_capital1662559203916.png,SEED
Gameplay Galaxy,https://img.cryptorank.io/coins/60x60.gameplay_galaxy1662627457178.png,2022-09-07T00:00:00.000Z,12800000,Blockchain Capital,https://img.cryptorank.io/funds/60x60.blockchain capital1648497425517.png,SEED
Omni Wallet,https://img.cryptorank.io/coins/60x60.omni_wallet1662634579459.png,2022-09-07T00:00:00.000Z,12000000,The Spartan Group,https://img.cryptorank.io/funds/60x60.the_spartan_group1729584485534.png,SEED
Hubble Protocol,https://img.cryptorank.io/coins/60x60.hubble protocol1638286774764.png,2022-09-08T00:00:00.000Z,5000000,Multicoin Capital,https://img.cryptorank.io/funds/60x60.multicoin_capital1675419937276.png,STRATEGIC
Sui,https://img.cryptorank.io/coins/60x60.sui1683272105699.png,2022-09-08T00:00:00.000Z,300000000,FTX Ventures,https://img.cryptorank.io/funds/60x60.ftx ventures1649435357799.png,SERIES B
