name,image,symbol,when,raise,launchpad,launchpad_logo,category_name
DragonSwap,https://img.cryptorank.io/coins/60x60.dragon_swap1740662857254.png,DRG,2025-04-14,2000000,Fjord Foundry,https://img.cryptorank.io/ido-platforms/60x60.fjord_foundry1704722500376.png,DeFi
DoubleZero,https://img.cryptorank.io/coins/60x60.double_zero1741245444996.png,2Z,2025-04-15,,Coinlist,https://img.cryptorank.io/ido-platforms/60x60.coinlist1684739218551.png,Blockchain Infrastructure
Lucky Kat,https://img.cryptorank.io/coins/60x60.lucky_kat1744376836691.png,KOBAN,2025-04-16,400000,DAO Maker,https://img.cryptorank.io/ido-platforms/60x60.dao_maker1617200987249.png,GameFi
BIGA,https://img.cryptorank.io/coins/60x60.biga1710519146370.png,BIGA,2025-04-18,580000,KingdomStarter,https://img.cryptorank.io/ido-platforms/60x60.kingdom_starter1680166816252.png,GameFi
FNT Crypto,https://img.cryptorank.io/coins/60x60.fnt_crypto1744022983583.png,FNTIO,2025-04-21,100000,BSCS,https://img.cryptorank.io/ido-platforms/60x60.bsc_station1628073925867.png,CeFi
Cryptaine,https://img.cryptorank.io/coins/60x60.cryptaine1744025925735.png,CRY,2025-04-22,450000,BSCS,https://img.cryptorank.io/ido-platforms/60x60.bsc_station1628073925867.png,Blockchain Service
Lunch Protocol,https://img.cryptorank.io/coins/60x60.lunch_protocol1743421813597.png,Lunch,2025-04-23,500000,Fjord Foundry,https://img.cryptorank.io/ido-platforms/60x60.fjord_foundry1704722500376.png,Social
EON Coin,https://img.cryptorank.io/coins/60x60.eon_chain1735130277492.png,EON,2025-04-24,11500000,N/A,N/A,GameFi
Grafilab,https://img.cryptorank.io/coins/60x60.grafilab1738836241547.png,GRAFI,2025-04-25,400000,Huostarter,https://img.cryptorank.io/ido-platforms/60x60.huostarter1727188550454.png,Blockchain Service
Blink Game AI,https://img.cryptorank.io/coins/60x60.blink_game_ai1742383030075.png,BLINK,2025-04-27,650000,KingdomStarter,https://img.cryptorank.io/ido-platforms/60x60.kingdom_starter1680166816252.png,GameFi
Crypto D.app,https://img.cryptorank.io/coins/60x60.crypto_d_app1740131545290.png,OBS,2025-05-01,,N/A,N/A,Blockchain Service
HashBurn,https://img.cryptorank.io/coins/60x60.hash_burn1738578352884.png,HBURN,2025-05-02,50000,Huostarter,https://img.cryptorank.io/ido-platforms/60x60.huostarter1727188550454.png,GameFi
GamersXP,https://img.cryptorank.io/coins/60x60.gamers_xp1743062236477.png,GMXP,2025-05-07,550000,Huostarter,https://img.cryptorank.io/ido-platforms/60x60.huostarter1727188550454.png,GameFi
EarnPark,https://img.cryptorank.io/coins/60x60.earn_park1737029618976.png,PARK,2025-05-15,3080000,N/A,N/A,CeFi
Emmet Finance,https://img.cryptorank.io/coins/60x60.emmet_finance1743759528826.png,EMMET,2025-05-15,150000,Spores Network,https://img.cryptorank.io/ido-platforms/60x60.spores_network1668681642409.png,DeFi
Muon Network,https://img.cryptorank.io/coins/60x60.muon1635170931930.png,MUON,,,N/A,N/A,Blockchain Infrastructure
Colexion,https://img.cryptorank.io/coins/60x60.colexion1643703688946.png,CLXN,,150000,FireStarter,https://img.cryptorank.io/ido-platforms/60x60.fire_starter1640191635892.png,NFT
MetaClash,https://img.cryptorank.io/coins/60x60.meta_clash1711621866677.png,PCORE,,1350000,TrustPad,https://img.cryptorank.io/ido-platforms/60x60.trust_pad1702399062242.png,GameFi
GIGCO,https://img.cryptorank.io/coins/60x60.gigco1644592239148.png,GIG,,120000,RazrFi,https://img.cryptorank.io/ido-platforms/60x60.sol_razr1637599313904.png,Social
