fund_slug,tag,count,percent
hash-key-capital,Artificial Intelligence (AI),3,18.75
hash-key-capital,Perpetuals,3,18.75
hash-key-capital,Data Service,2,12.5
hash-key-capital,DEX,2,12.5
hash-key-capital,Lending,2,12.5
hash-key-capital,RWA,2,12.5
hash-key-capital,Social Network,2,12.5
coinbase-ventures,API,4,19.05
coinbase-ventures,Data Service,4,19.05
coinbase-ventures,Payments,4,19.05
coinbase-ventures,Wallet,3,14.29
coinbase-ventures,DEX,2,9.52
coinbase-ventures,NFT elements,2,9.52
coinbase-ventures,Social Network,2,9.52
delphi-ventures,Artificial Intelligence (AI),5,21.74
delphi-ventures,Layer 1 (L1),4,17.39
delphi-ventures,Data Service,3,13.04
delphi-ventures,DePIN,3,13.04
delphi-ventures,Developer Tools,3,13.04
delphi-ventures,Play to Earn (P2E),3,13.04
delphi-ventures,DEX,2,8.7
circle,RWA,4,22.22
circle,Layer 1 (L1),3,16.67
circle,Payments,3,16.67
circle,Account Abstraction,2,11.11
circle,Artificial Intelligence (AI),2,11.11
circle,Developer Tools,2,11.11
circle,Lending,2,11.11
a16z-csx,Artificial Intelligence (AI),11,36.67
a16z-csx,Data Service,4,13.33
a16z-csx,Layer 1 (L1),4,13.33
a16z-csx,API,3,10.0
a16z-csx,Art,3,10.0
a16z-csx,Intellectual property,3,10.0
a16z-csx,RWA,2,6.67
polychain-capital,Stablecoin Protocol,4,19.05
polychain-capital,Artificial Intelligence (AI),3,14.29
polychain-capital,Bitcoin Scaling,3,14.29
polychain-capital,Layer 2 (L2),3,14.29
polychain-capital,LSDfi,3,14.29
polychain-capital,Yield Farming,3,14.29
polychain-capital,Security,2,9.52
sandeep-nailwal,Artificial Intelligence (AI),4,23.53
sandeep-nailwal,Layer 2 (L2),3,17.65
sandeep-nailwal,Cloud Services,2,11.76
sandeep-nailwal,Developer Tools,2,11.76
sandeep-nailwal,EVM,2,11.76
sandeep-nailwal,Layer 1 (L1),2,11.76
sandeep-nailwal,Security,2,11.76
spartan-group,Developer Tools,4,20.0
spartan-group,Data Service,3,15.0
spartan-group,DePIN,3,15.0
spartan-group,EVM,3,15.0
spartan-group,Play to Earn (P2E),3,15.0
spartan-group,Artificial Intelligence (AI),2,10.0
spartan-group,Mobile,2,10.0
galaxy-digital,Payments,5,25.0
galaxy-digital,Layer 1 (L1),3,15.0
galaxy-digital,Lending,3,15.0
galaxy-digital,RWA,3,15.0
galaxy-digital,Binance Launchpool,2,10.0
galaxy-digital,Data Service,2,10.0
galaxy-digital,Stablecoin Protocol,2,10.0
stani-kulechov,Layer 2 (L2),3,17.65
stani-kulechov,NFT elements,3,17.65
stani-kulechov,Social Network,3,17.65
stani-kulechov,Binance Launchpool,2,11.76
stani-kulechov,DAO,2,11.76
stani-kulechov,DEX,2,11.76
stani-kulechov,Perpetuals,2,11.76
andreessen-horowitz,Social Network,4,22.22
andreessen-horowitz,EVM,3,16.67
andreessen-horowitz,NFT elements,3,16.67
andreessen-horowitz,DAO,2,11.11
andreessen-horowitz,Layer 1 (L1),2,11.11
andreessen-horowitz,Layer 2 (L2),2,11.11
andreessen-horowitz,Payments,2,11.11
vaneck,CEX,2,20.0
vaneck,Data Service,2,20.0
vaneck,DePIN,2,20.0
vaneck,Binance Launchpool,1,10.0
vaneck,Exchange Aggregator,1,10.0
vaneck,Play to Earn (P2E),1,10.0
vaneck,Staking,1,10.0
dragon-fly-capital,Developer Tools,3,15.0
dragon-fly-capital,DEX,3,15.0
dragon-fly-capital,EVM,3,15.0
dragon-fly-capital,Perpetuals,3,15.0
dragon-fly-capital,Stablecoin Protocol,3,15.0
dragon-fly-capital,Yield Farming,3,15.0
dragon-fly-capital,Layer 2 (L2),2,10.0
balaji-srinivasan,Artificial Intelligence (AI),7,35.0
balaji-srinivasan,Cloud Services,3,15.0
balaji-srinivasan,DEX,3,15.0
balaji-srinivasan,Yield Farming,2,10.0
balaji-srinivasan,zk-Proofs (ZKP),2,10.0
balaji-srinivasan,ZK-Rollup,2,10.0
balaji-srinivasan,Layer 2 (L2),1,5.0
paradigm,Developer Tools,7,35.0
paradigm,Data Service,3,15.0
paradigm,API,2,10.0
paradigm,DEX,2,10.0
paradigm,Layer 2 (L2),2,10.0
paradigm,Restaking,2,10.0
paradigm,zk-Proofs (ZKP),2,10.0
sequoia-capital,API,6,26.09
sequoia-capital,Artificial Intelligence (AI),4,17.39
sequoia-capital,Data Service,4,17.39
sequoia-capital,Developer Tools,3,13.04
sequoia-capital,Payments,2,8.7
sequoia-capital,Rollups-as-a-Service (RaaS),2,8.7
sequoia-capital,Wallet,2,8.7
binance-labs,Artificial Intelligence (AI),3,16.67
binance-labs,Binance Launchpool,3,16.67
binance-labs,DEX,3,16.67
binance-labs,LSDfi,3,16.67
binance-labs,AMM,2,11.11
binance-labs,Decentralized Application (dApp),2,11.11
binance-labs,Yield Farming,2,11.11
santiago-santos,DePIN,5,27.78
santiago-santos,Artificial Intelligence (AI),3,16.67
santiago-santos,Healthcare,2,11.11
santiago-santos,Layer 2 (L2),2,11.11
santiago-santos,Modular,2,11.11
santiago-santos,Play to Earn (P2E),2,11.11
santiago-santos,RWA,2,11.11
bryan-pellegrino,Card Games,2,16.67
bryan-pellegrino,DEX,2,16.67
bryan-pellegrino,Layer 2 (L2),2,16.67
bryan-pellegrino,NFT elements,2,16.67
bryan-pellegrino,Yield Aggregator,2,16.67
bryan-pellegrino,Marketplace,1,8.33
bryan-pellegrino,Staking,1,8.33
consensys,LSDfi,4,23.53
consensys,Restaking,3,17.65
consensys,Binance Launchpool,2,11.76
consensys,DAO,2,11.76
consensys,Perpetuals,2,11.76
consensys,Wallet,2,11.76
consensys,Yield Farming,2,11.76
multicoin-capital,DePIN,5,25.0
multicoin-capital,Artificial Intelligence (AI),4,20.0
multicoin-capital,Payments,3,15.0
multicoin-capital,Bitcoin Scaling,2,10.0
multicoin-capital,Data Service,2,10.0
multicoin-capital,Privacy,2,10.0
multicoin-capital,US Coins,2,10.0
black-rock,CEX,1,16.67
black-rock,Coins Alleged as Securities by SEC,1,16.67
black-rock,Exchange Token,1,16.67
black-rock,Payments,1,16.67
black-rock,Portfolio Management,1,16.67
black-rock,RWA,1,16.67
raj-gokal,Payments,4,25.0
raj-gokal,DEX,3,18.75
raj-gokal,Marketplace,3,18.75
raj-gokal,Data Service,2,12.5
raj-gokal,DePIN,2,12.5
raj-gokal,Decentralized Application (dApp),1,6.25
raj-gokal,Smart Contract Platform,1,6.25
pantera-capital,LSDfi,4,22.22
pantera-capital,Artificial Intelligence (AI),3,16.67
pantera-capital,Developer Tools,3,16.67
pantera-capital,Cross-Chain,2,11.11
pantera-capital,DEX,2,11.11
pantera-capital,NFT elements,2,11.11
pantera-capital,Yield Farming,2,11.11
paul-veradittakit,DEX,2,22.22
paul-veradittakit,Payments,2,22.22
paul-veradittakit,AMM,1,11.11
paul-veradittakit,Decentralized Application (dApp),1,11.11
paul-veradittakit,Governance,1,11.11
paul-veradittakit,Launchpad,1,11.11
paul-veradittakit,Lending,1,11.11
vitalik-buterin,Layer 2 (L2),5,26.32
vitalik-buterin,Smart Contract Platform,3,15.79
vitalik-buterin,zk-Proofs (ZKP),3,15.79
vitalik-buterin,ZK-Rollup,3,15.79
vitalik-buterin,Modular,2,10.53
vitalik-buterin,Privacy,2,10.53
vitalik-buterin,Verification,1,5.26
blockchain-capital,Bitcoin Scaling,3,17.65
blockchain-capital,Restaking,3,17.65
blockchain-capital,zk-Proofs (ZKP),3,17.65
blockchain-capital,Data Service,2,11.76
blockchain-capital,DEX,2,11.76
blockchain-capital,Layer 2 (L2),2,11.76
blockchain-capital,Social Network,2,11.76
alex-svanevik,NFT elements,4,22.22
alex-svanevik,Payments,4,22.22
alex-svanevik,Card Games,2,11.11
alex-svanevik,Data Service,2,11.11
alex-svanevik,Developer Tools,2,11.11
alex-svanevik,Perpetuals,2,11.11
alex-svanevik,Racing,2,11.11
y-combinator,Payments,7,30.43
y-combinator,NFT elements,4,17.39
y-combinator,API,3,13.04
y-combinator,Data Service,3,13.04
y-combinator,Artificial Intelligence (AI),2,8.7
y-combinator,DEX,2,8.7
y-combinator,Privacy,2,8.7
arthur-hayes,NFT elements,4,22.22
arthur-hayes,LSDfi,3,16.67
arthur-hayes,Marketplace,3,16.67
arthur-hayes,Bridge,2,11.11
arthur-hayes,DEX,2,11.11
arthur-hayes,Perpetuals,2,11.11
arthur-hayes,Yield Aggregator,2,11.11
animoca-brands,Artificial Intelligence (AI),6,22.22
animoca-brands,NFT elements,6,22.22
animoca-brands,Play to Earn (P2E),4,14.81
animoca-brands,DePIN,3,11.11
animoca-brands,Developer Tools,3,11.11
animoca-brands,LSDfi,3,11.11
animoca-brands,Lending,2,7.41
quantstamp,LSDfi,3,18.75
quantstamp,Security,3,18.75
quantstamp,Cross-Chain,2,12.5
quantstamp,DAO,2,12.5
quantstamp,DEX,2,12.5
quantstamp,Payments,2,12.5
quantstamp,Yield Farming,2,12.5
jump-crypto,Payments,3,18.75
jump-crypto,Wallet,3,18.75
jump-crypto,Artificial Intelligence (AI),2,12.5
jump-crypto,Developer Tools,2,12.5
jump-crypto,DEX,2,12.5
jump-crypto,Digital Identity,2,12.5
jump-crypto,Trading Strategies,2,12.5
amber-group,Artificial Intelligence (AI),4,25.0
amber-group,Developer Tools,3,18.75
amber-group,DePIN,2,12.5
amber-group,Layer 1 (L1),2,12.5
amber-group,LSDfi,2,12.5
amber-group,Play to Earn (P2E),2,12.5
amber-group,Launchpad,1,6.25
greenfield-one,DAO,3,20.0
greenfield-one,Quest Platform,3,20.0
greenfield-one,Yield Farming,3,20.0
greenfield-one,DEX,2,13.33
greenfield-one,Digital Identity,2,13.33
greenfield-one,Lending,1,6.67
greenfield-one,NFT elements,1,6.67
tether,Payments,7,36.84
tether,Mining Solutions,4,21.05
tether,Mobile,2,10.53
tether,Social Media,2,10.53
tether,Wallet,2,10.53
tether,Cloud Services,1,5.26
tether,Developer Tools,1,5.26
polygon-ventures,Artificial Intelligence (AI),5,26.32
polygon-ventures,EVM,3,15.79
polygon-ventures,Layer 2 (L2),3,15.79
polygon-ventures,Cloud Services,2,10.53
polygon-ventures,Metaverse,2,10.53
polygon-ventures,NFT elements,2,10.53
polygon-ventures,Play to Earn (P2E),2,10.53
