fund_slug,country,count
hash-key-capital,United States,12
hash-key-capital,Singapore,4
hash-key-capital,Hong Kong,1
hash-key-capital,India,1
hash-key-capital,Switzerland,1
hash-key-capital,United Kingdom,1
coinbase-ventures,United States,14
coinbase-ventures,British Virgin Islands,1
coinbase-ventures,Colombia,1
coinbase-ventures,France,1
coinbase-ventures,Germany,1
coinbase-ventures,Switzerland,1
delphi-ventures,United States,11
delphi-ventures,Switzerland,2
delphi-ventures,Brazil,1
delphi-ventures,British Virgin Islands,1
delphi-ventures,Cayman Islands,1
delphi-ventures,France,1
circle,United States,15
circle,Germany,2
circle,Canada,1
circle,Estonia,1
circle,United Kingdom,1
a16z-csx,United States,4
a16z-csx,United Kingdom,2
a16z-csx,Bulgaria,1
polychain-capital,United States,14
polychain-capital,Singapore,2
polychain-capital,Germany,1
polychain-capital,Nigeria,1
polychain-capital,South Korea,1
polychain-capital,United Kingdom,1
sandeep-nailwal,United States,12
sandeep-nailwal,Singapore,2
sandeep-nailwal,Cayman Islands,1
sandeep-nailwal,France,1
sandeep-nailwal,Poland,1
sandeep-nailwal,Portugal,1
spartan-group,United States,6
spartan-group,Germany,2
spartan-group,Australia,1
spartan-group,Cayman Islands,1
spartan-group,China,1
spartan-group,Estonia,1
galaxy-digital,United States,16
galaxy-digital,Canada,1
galaxy-digital,Hong Kong,1
galaxy-digital,Thailand,1
galaxy-digital,United Kingdom,1
stani-kulechov,United States,6
stani-kulechov,United Kingdom,5
stani-kulechov,Netherlands,2
stani-kulechov,Canada,1
stani-kulechov,Cayman Islands,1
stani-kulechov,Estonia,1
andreessen-horowitz,United States,19
andreessen-horowitz,France,1
vaneck,United States,4
vaneck,Germany,1
vaneck,Russia,1
vaneck,United Kingdom,1
dragon-fly-capital,United States,15
dragon-fly-capital,Cayman Islands,1
dragon-fly-capital,Estonia,1
dragon-fly-capital,France,1
dragon-fly-capital,Mexico,1
dragon-fly-capital,Singapore,1
balaji-srinivasan,United States,13
balaji-srinivasan,Singapore,3
balaji-srinivasan,Canada,1
balaji-srinivasan,India,1
balaji-srinivasan,Israel,1
balaji-srinivasan,Switzerland,1
paradigm,United States,18
paradigm,Hong Kong,1
paradigm,Singapore,1
sequoia-capital,United States,14
sequoia-capital,India,3
sequoia-capital,Canada,1
sequoia-capital,China,1
