TITLE,PUBLISHED_ON,SENTIMENT,SOURCE_DATA_NAME,KEYWORDS,SCORE,URL,IMAGE_URL
South Dakota kills Bitcoin Reserve plans – ‘Will be back next year’,2025-02-25 10:15:41,NEGATIVE,AMB Crypto,Bitcoin|News|News 1|Social|Trading View|ambcrypto,0,https://ambcrypto.com/south-dakota-kills-bitcoin-reserve-plans-will-be-back-next-year/,https://images.cryptocompare.com/news/default/ambcrypto.png
"Ethereum Shorts Face Liquidation Risk at $3,000 Amid Potential Price Surge and Market Dynamics",2025-02-25 10:12:48,NEUTRAL,CoinOtag,Bitcoin|Ethereum|News|BTC|ETH,0,https://en.coinotag.com/ethereum-shorts-face-liquidation-risk-at-3000-amid-potential-price-surge-and-market-dynamics/,https://resources.cryptocompare.com/news/77/40812568.jpeg
7 Best Bitcoin Cloud Mining Apps for Mobile and PC in 2025,2025-02-25 10:11:55,POSITIVE,BitcoinSistemi,Sponsored,0,https://en.bitcoinsistemi.com/7-best-bitcoin-cloud-mining-apps-for-mobile-and-pc-in-2025/,https://resources.cryptocompare.com/news/81/40812626.jpeg
"After Plunging Below $90,000, Has the Bitcoin Bull Run Come to an End? Here’s What You Should Know",2025-02-25 10:09:21,NEGATIVE,coinpedia,Price Analysis|Bitcoin,0,https://coinpedia.org/price-analysis/after-plunging-below-90000-has-the-bitcoin-bull-run-come-to-an-end-heres-what-you-should-know/,https://images.cryptocompare.com/news/default/coinpedia.png
"BTC Plunges to 3-Month Low Beneath $88K, Altcoins Dump by Double Digits (Market Watch)",2025-02-25 10:06:01,NEGATIVE,Crypto Potato,BTCEUR|BTCGBP|BTCUSD|BTCUSDT|Crypto News|featured1|Market Updates,0,https://cryptopotato.com/btc-plunges-to-3-month-low-beneath-88k-altcoins-dump-by-double-digits-market-watch/,https://resources.cryptocompare.com/news/27/40812327.jpeg
RedStone: Harnessing Real-Time Data to Empower Blockchain Applications,2025-02-25 10:05:56,POSITIVE,CoinTurk News,Altcoin News,0,https://en.coin-turk.com/redstone-harnessing-real-time-data-to-empower-blockchain-applications/,https://resources.cryptocompare.com/news/79/40812320.jpeg
Ethereum (ETH) Warning from Analyst: Death Cross is Coming! How Will the Price Be Affected?,2025-02-25 10:04:09,NEGATIVE,BitcoinSistemi,Altcoin|Analysis|Bitcoin|Ethereum|News,0,https://en.bitcoinsistemi.com/ethereum-eth-warning-from-analyst-death-cross-is-coming-how-will-the-price-be-affected/,https://resources.cryptocompare.com/news/81/40812245.jpeg
Ethereum Gaining Ground on Bitcoin: Taker Buy-Sell Ratio and Cost Basis Trends Point to Stronger Sentiment,2025-02-25 10:02:16,POSITIVE,NullTx,Crypto|News|altcoins|crypto|cryptocurrency|ETH|Ethereum|Profit|trading|Whales,0,https://nulltx.com/ethereum-gaining-ground-on-bitcoin-taker-buy-sell-ratio-and-cost-basis-trends-point-to-stronger-sentiment/,https://images.cryptocompare.com/news/default/nulltx.png
CryptoQuant CEO Forecasts a New Era: Only Top Altcoins Thrive in 2025,2025-02-25 10:01:26,POSITIVE,coinpedia,News|Altcoins,0,https://coinpedia.org/news/cryptoquant-ceo-forecasts-a-new-era-only-top-altcoins-thrive-in-2025/,https://images.cryptocompare.com/news/default/coinpedia.png
$34 XRP? Analyst Spots A Crucial Setup For A Major Rally,2025-02-25 10:00:52,POSITIVE,NewsBTC,Cryptocurrency Market News|altcoin|bitcoin|crypto|digital currency|xrp,0,https://www.newsbtc.com/news/34-xrp-analyst-spots-a-crucial-setup-for-a-major-rally/,https://resources.cryptocompare.com/news/21/40812129.jpeg
Ethereum’s $2B liquidation risk: Will a short squeeze send ETH soaring?,2025-02-25 10:00:07,NEUTRAL,AMB Crypto,Altcoin|Ethereum|News|News 1|Social|Trading View,0,https://ambcrypto.com/ethereums-2b-liquidation-risk-will-a-short-squeeze-send-eth-soaring/,https://images.cryptocompare.com/news/default/ambcrypto.png
"$500 to $500K? MAGACOINOFFICIAL.COM, XRP, and Solana Could Deliver Huge Returns!",2025-02-25 10:00:06,POSITIVE,BitcoinSistemi,Sponsored,0,https://en.bitcoinsistemi.com/500-to-500k-magacoinofficial-com-xrp-and-solana-could-deliver-huge-returns/,https://resources.cryptocompare.com/news/81/40812163.jpeg
