id,key,symbol,name,lifeCycle,rank,type
1,bitcoin,BTC,Bitcoin,traded,1.0,coin
2,eos,EOS,EOS,traded,70.0,coin
3,ethereum,ETH,Ethereum,traded,2.0,coin
4,neo,NEO,NEO,traded,150.0,coin
5,ripple,XRP,XRP,traded,4.0,coin
6,stellar,XLM,Stellar,traded,17.0,coin
7,cardano,ADA,Cardano,traded,10.0,coin
8,litecoin,LTC,Litecoin,traded,23.0,coin
9,bitcoin-cash,BCH,Bitcoin Cash,traded,22.0,coin
10,iota,IOTA,IOTA,traded,96.0,coin
11,monero,XMR,Monero,traded,29.0,coin
12,nem,XEM,NEM,traded,273.0,coin
13,tron,TRX,TRON,traded,8.0,coin
14,ethereum-classic,ETC,Ethereum Classic,traded,39.0,coin
15,dash,DASH,Dash,traded,196.0,coin
17,qtum,QTUM,Qtum,traded,215.0,coin
19,nano,XNO,Nano,traded,309.0,coin
20,bitcoin-gold,BTG,Bitcoin Gold,traded,,coin
22,zcash,ZEC,Zcash,traded,133.0,coin
24,icon,ICX,ICON,traded,340.0,coin
26,bnb,BNB,BNB,traded,5.0,coin
27,steem,STEEM,Steem,traded,401.0,coin
28,verge,XVG,Verge,traded,421.0,coin
29,stratis,STRAX,Stratis,traded,308.0,coin
31,bytecoin-bcn,BCN,Bytecoin,traded,,coin
32,siacoin,SC,Siacoin,traded,231.0,coin
36,waves,WAVES,Waves,traded,345.0,coin
38,bitshares,BTS,BitShares,traded,1540.0,coin
39,decred,DCR,Decred,traded,233.0,coin
40,aeternity,AE,Aeternity,traded,1149.0,coin
41,dogecoin,DOGE,Dogecoin,traded,9.0,coin
43,electroneum,ETN,Electroneum,traded,731.0,coin
45,komodo,KMD,Komodo,traded,877.0,coin
46,ark,ARK,Ark,traded,378.0,coin
47,ardor,ARDR,Ardor,traded,310.0,coin
51,hshare,HC,HyperCash,inactive,,coin
54,cryptonex,CNX,Cryptonex,inactive,,coin
55,syscoin,SYS,Syscoin,traded,720.0,coin
57,digibyte,DGB,DigiByte,traded,250.0,coin
58,pivx,PIVX,PIVX,traded,1025.0,coin
60,kucoin-shares,KCS,KuCoin Token,traded,61.0,coin
61,zilliqa,ZIL,Zilliqa,traded,203.0,coin
62,factom,FCT,Factom,inactive,,coin
63,monacoin,MONA,MonaCoin,traded,,coin
65,aion,AION,Aion,traded,,coin
70,particl,PART,Particl,traded,,coin
71,nebulas-token,NAS,Nebulas,inactive,,coin
74,reddcoin,RDD,ReddCoin,traded,,coin
76,gxchain,GXC,GXChain,traded,,coin
77,iostoken,IOST,IOStoken,traded,373.0,coin
78,blocknet,BLOCK,Blocknet,inactive,,coin
80,firo,FIRO,Firo,traded,1154.0,coin
82,neblio,NEBL,Neblio,traded,2742.0,coin
89,nxt,NXT,Nxt,traded,,coin
94,emercoin,EMC,Emercoin,inactive,,coin
96,smartcash,SMART,SmartCash,inactive,,coin
103,vertcoin,VTC,Vertcoin,traded,,coin
105,wax,WAXP,WAX,traded,399.0,coin
109,bitcoindark,BTCD,BitcoinDark,inactive,,coin
117,ubiq,UBQ,Ubiq,inactive,,coin
118,zencash,ZEN,Horizen,traded,291.0,coin
119,skycoin,SKY,Skycoin,inactive,,coin
123,digitalnote,XDN,DigitalNote,traded,,coin
124,theta-token,THETA,Theta Network,traded,87.0,coin
126,nav-coin,NAV,NAVIO,traded,1593.0,coin
128,credits,CS,Credits,traded,,coin
129,pura,PURA,Pura,inactive,,coin
137,achain,ACT,Achain,traded,,coin
138,sophiatx,SPHTX,SophiaTX,inactive,,coin
140,high-performance-blockchain,HPB,Hyperblox,traded,2583.0,coin
141,minexcoin,MNX,MinexCoin,inactive,,coin
143,asch,XAS,Asch,inactive,,coin
154,cloakcoin,CLOAK,CloakCoin,inactive,,coin
157,bitbay,BAY,BitBay,inactive,,coin
159,poa-network,POA,POA Network,inactive,,coin
167,airdao,AMB,AirDAO,traded,2058.0,coin
168,experience-points,XP,Experience Points,inactive,,coin
175,burst,BURST,Burst,inactive,,coin
177,ion,ION,ION,inactive,,coin
179,einsteinium,EMC2,Einsteinium,inactive,,coin
183,salus,SLS,SaluS,inactive,,coin
188,html-coin,HTML,HTMLCOIN,inactive,,coin
189,metaverse,ETP,Metaverse ETP,inactive,,coin
191,viacoin,VIA,Viacoin,inactive,,coin
197,gulden,NLG,Gulden,inactive,,coin
199,counterparty,XCP,Counterparty,traded,,coin
206,rise,RISE,Rise,inactive,,coin
208,feathercoin,FTC,Feathercoin,inactive,,coin
210,aeon,AEON,Aeon,inactive,,coin
216,groestlcoin,GRS,Groestlcoin,traded,675.0,coin
217,shift,SHIFT,Shift,inactive,,coin
219,crown,CRW,Crown,inactive,,coin
233,decent,DCT,DECENT,inactive,,coin
236,flash,FLASH,Flash,inactive,,coin
238,eccoin,ECC,ECC,inactive,,coin
239,safe-exchange-coin,SFT,Safex Token,inactive,,coin
242,sibcoin,SIB,SIBCoin,inactive,,coin
244,iocoin,IOC,I/O Coin,inactive,,coin
246,namecoin,NMC,Namecoin,traded,,coin
247,steem-dollars,SBD,Steem Dollars,traded,1134.0,coin
248,qlink,QLC,Kepple,inactive,,coin
252,potcoin,POT,PotCoin,traded,1681.0,coin
257,colossuscoinxt,COLX,ColossusXT,inactive,,coin
261,blackcoin,BLK,BlackCoin,inactive,,coin
262,whitecoin,XWC,WhiteCoin,inactive,,coin
264,bean-cash,BITB,Bean Cash,inactive,,coin
267,vericoin,VRC,VeriCoin,inactive,,coin
268,diamond,DMD,Diamond,traded,,coin
269,zclassic,ZCL,ZClassic,inactive,,coin
270,elastic,XEL,XEL,inactive,,coin
271,internet-node-token,INT,INT Chain,inactive,,coin
273,lykke,LKK,Lykke,funding,,coin
274,deeponion,ONION,DeepOnion,inactive,,coin
276,tao,XTO,Tao,inactive,,coin
280,mintcoin,MINT,Mintcoin,inactive,,coin
291,expanse,EXP,Expanse,inactive,,coin
296,zoin,ZOI,Zoin,inactive,,coin
298,faircoin,FAIR,FairCoin,inactive,,coin
302,gridcoin,GRC,GridCoin,inactive,,coin
303,leocoin,LEO,BITTUP,inactive,,coin
307,dimecoin,DIME,Dimecoin,traded,,coin
315,nolimitcoin,NLC2,NoLimitCoin,inactive,,coin
320,monetaryunit,MUE,MonetaryUnit,inactive,,coin
321,pascal-coin,PASC,Pascal Coin,inactive,,coin
323,hempcoin,THC,HempCoin,inactive,,coin
330,electra,ECA,Electra,inactive,,coin
331,radium,VAL,Validity,traded,,coin
332,omni,OMNI,Omni,traded,,coin
