Fund Name,Tier,Latest Deal,Portfolio,Retail ROI,Focus Area
Delphi Ventures,1,"Ambient
$7.20M
31 Mar 2025",160,161.06x,"#
Artificial Intell...
+6"
a16z CSX,1,"Mahojin
N/A
31 Mar 2025",34,,"#
Artificial Intell...
+6"
Polychain Capital,1,"Warlock
$8.00M
27 Mar 2025",206,15.44x,"#
Stablecoin Protoc...
+6"
Sandeep Nailwal,1,"Capx AI
$3.14M
26 Mar 2025",129,0.37x,"#
Artificial Intell...
+6"
HashKey Capital,1,"Spot Zero
$4.50M
25 Mar 2025",260,1.71x,"#
Perpetuals
+6"
The Spartan Group,1,"Spot Zero
$4.50M
25 Mar 2025",223,7.91x,"#
Developer Tools
+6"
Galaxy,1,"Chronicle
$12.00M
25 Mar 2025",127,444.96x,"#
Payments
+6"
Stani Kulechov,1,"Chronicle
$12.00M
25 Mar 2025",63,2.79x,"#
NFT elements
+6"
Coinbase Ventures,1,"Rain
$24.50M
24 Mar 2025",423,3.17x,"#
Payments
+6"
Andreessen Horowi...,1,"Walrus
$140.00M
20 Mar 2025",174,333.28x,"#
NFT elements
+6"
VanEck,1,"Manifest Finance
$2.50M
20 Mar 2025",12,1.45x,"#
CEX
+6"
DragonFly Capital,1,"Hibachi
$5.00M
19 Mar 2025",165,5.92x,"#
Developer Tools
+6"
Balaji Srinivasan,1,"Pluralis Research
$7.60M
19 Mar 2025",146,3.48x,"#
Artificial Intell...
+6"
Paradigm,1,"Privy
$15.00M
19 Mar 2025",100,640.31x,"#
Developer Tools
+6"
Sequoia Capital,1,"Privy
$15.00M
19 Mar 2025",73,0.97x,"#
API
+6"
YZi Labs (Prev. B...,1,"Opinion Labs
$5.00M
18 Mar 2025",260,3.05x,"#
Artificial Intell...
+6"
Santiago R. Santo...,1,"Yeet
$7.75M
18 Mar 2025",75,1.35x,"#
DePIN
+6"
Bryan Pellegrino,1,"Yeet
$7.75M
18 Mar 2025",13,0.37x,"#
DEX
+6"
ConsenSys,1,"Mesh
$82.00M
11 Mar 2025",68,2.91x,"#
LSDfi
+6"
Multicoin Capital,1,"DoubleZero
$28.00M
06 Mar 2025",147,165.80x,"#
DePIN
+6"
BlackRock,1,"Flowdesk
$52.00M
04 Mar 2025",6,1.45x,"#
Coins Alleged as ...
+4"
Raj Gokal,1,"Raise
$63.00M
26 Feb 2025",25,0.08x,"#
Payments
+6"
Pantera Capital,1,"Ethena
$100.00M
24 Feb 2025",214,102.00x,"#
LSDfi
+6"
Paul Veradittakit,1,"fomo
$2.00M
18 Feb 2025",13,0.01x,"#
Payments
+6"
Vitalik Buterin,1,"Etherealize
N/A
23 Jan 2025",11,,"#
Layer 2 (L2)
+6"
Circle,1,"Hashnote
N/A
21 Jan 2025",99,4.29x,"#
Layer 1 (L1)
+6"
Blockchain Capita...,1,"Merit Systems
$10.00M
16 Jan 2025",127,8.02x,"#
Bitcoin Scaling
+6"
Alex Svanevik,1,"Uranium Digital
$1.70M
12 Dec 2024",21,0.02x,"#
NFT elements
+6"
Y Combinator,1,"Notabene
$14.50M
12 Nov 2024",67,0.84x,"#
Payments
+6"
Arthur Hayes,1,"Cytonic
$8.30M
07 Nov 2024",18,0.28x,"#
NFT elements
+6"
Quantstamp,2,"Bloctopus
$1.00M
01 Apr 2025",31,0.39x,"#
Security
+6"
Amber Group,2,"Ambient
$7.20M
31 Mar 2025",93,0.77x,"#
Artificial Intell...
+6"
Greenfield Capita...,2,"Warlock
$8.00M
27 Mar 2025",39,0.37x,"#
Quest Platform
+6"
Tether,2,"Be Water
$10.80M
27 Mar 2025",14,0.26x,"#
Payments
+6"
P2 Ventures (Poly...,2,"Capx AI
$3.14M
26 Mar 2025",147,0.28x,"#
Artificial Intell...
+6"
MH Ventures,2,"Capx AI
$3.14M
26 Mar 2025",127,0.85x,"#
Artificial Intell...
+6"
Fenbushi Capital,2,"Chronicle
$12.00M
25 Mar 2025",150,0.42x,"#
DAO
+6"
Robot Ventures,2,"Chronicle
$12.00M
25 Mar 2025",137,0.61x,"#
LSDfi
+6"
IVC,2,"Spot Zero
$4.50M
25 Mar 2025",113,0.44x,"#
LSDfi
+6"
6th Man Ventures,2,"Chronicle
$12.00M
25 Mar 2025",76,1.26x,"#
Developer Tools
+6"
Immutable,2,"Immortal Rising 2
$3.00M
25 Mar 2025",10,0.72x,"#
NFT elements
+6"
Hypersphere Ventu...,2,"Fragmetric
$5.00M
24 Mar 2025",94,0.96x,"#
Artificial Intell...
+6"
Lightspeed Ventur...,2,"Rain
$24.50M
24 Mar 2025",63,3.69x,"#
Data Service
+6"
RockawayX,2,"Fragmetric
$5.00M
24 Mar 2025",47,74.30x,"#
Wallet
+6"
Alliance DAO,2,"Guess.best
$350.00K
21 Mar 2025",72,0.54x,"#
Bitcoin Scaling
+6"
Framework Venture...,2,"Uranium Digital
$6.10M
20 Mar 2025",123,9.13x,"#
DePIN
+6"
