name,symbol,rank,price_usd,market_cap,volume_24h,circulating_supply,max_supply,all_time_high,ath_date,category,launch_date,website,coin_key
Bitcoin,BTC,1.0,84564.33087772109,1678314654736.8992,7868812507.651167,19852975,21000000,108824.38453571018,2025-01-20,Currency,2010-03-17T00:00:00.000Z,https://bitcoin.org/,bitcoin
EOS,EOS,70.0,0.624430936092,947190413.0864933,89183964.00207217,1516885789,0,22.8904,2018-04-29,Chain,2017-07-01T19:14:00.000Z,https://eosnetwork.com/,eos
Ethereum,ETH,2.0,1586.566894335813,191251019608.2679,3893053843.212701,120700645,0,4859.61823224,2021-11-10,Chain,2015-07-30T00:00:00.000Z,https://www.ethereum.org/,ethereum
NEO,NEO,150.0,5.607135055958,395663990.96655256,16003039.818101766,70530000,100000000,196.853,2018-01-15,Chain,2016-09-09T03:09:00.000Z,https://neo.org/,neo
XRP,XRP,4.0,2.074761259814,121012888223.11061,1457566629.03653,58338141684,100000000000,3.84194,2018-01-04,Currency,2013-08-04T18:51:00.000Z,https://ripple.com/,ripple
Stellar,XLM,17.0,0.243997151766,7523205660.892867,81026938.53933458,30833170004,50001786911,0.938144,2018-01-04,Chain,2014-08-05T05:44:00.000Z,https://www.stellar.org,stellar
Cardano,ADA,10.0,0.613312160124,22045150416.47258,270530314.50552195,36010655200,45000000000,3.08461573,2021-09-02,Chain,2017-10-01T20:34:00.000Z,https://www.cardano.org,cardano
Litecoin,LTC,23.0,75.611957121286,5726524129.871299,136314326.16144314,75757489,84000000,415.05832129,2021-05-10,Currency,2013-04-28T18:47:00.000Z,https://www.litecoin.net/,litecoin
Bitcoin Cash,BCH,22.0,330.156538902978,6554198733.409756,60531895.95776551,19857591,21000000,4355.62,2017-12-20,Currency,2017-07-23T16:29:00.000Z,https://bch.info/,bitcoin-cash
IOTA,IOTA,95.0,0.159981146591,596420048.5178508,17127148.865919754,3727086003,4600000000,5.69002,2017-12-19,Chain,2017-06-13T00:00:00.000Z,https://www.iota.org/,iota
Monero,XMR,29.0,218.914552261963,4040590680.1828413,51954458.988667145,18446744,0,500.22552434,2021-05-07,Currency,2014-05-21T01:41:00.000Z,http://www.monero.cc,monero
NEM,XEM,275.0,0.016838986291,151567534.28815916,17847148.981105164,8999999999,8999999999,2.09188,2018-01-04,Chain,2015-08-12T00:04:00.000Z,https://docs.nem.io/pages/,nem
TRON,TRX,8.0,0.245130967053,23277337483.00963,334329382.21627283,94950317212,0,0.434151446383,2024-12-04,Chain,2017-09-13T01:15:00.000Z,https://tron.network/,tron
Ethereum Classic,ETC,39.0,15.362502677052,2327324135.8134456,26520732.90077233,151568885,210700000,167.4701077,2021-05-06,Chain,2016-07-24T13:44:00.000Z,https://ethereumclassic.github.io/,ethereum-classic
Dash,DASH,196.0,20.683139556499,252813572.88614395,13835969.69083307,12222222,0,1642.22,2017-12-20,Currency,2014-02-14T13:44:00.000Z,https://www.dash.org/,dash
Qtum,QTUM,215.0,2.06763187271,218199368.82023352,12418534.902942315,105607349,107822406,106.876,2018-01-07,Chain,2017-05-24T15:19:00.000Z,https://qtum.org/,qtum
Nano,XNO,310.0,0.911864219094,121506893.18971275,4186023.779135262,133248290,133248290,37.6212,2018-01-02,Currency,2017-03-07T00:34:00.000Z,https://nano.org/en,nano
Bitcoin Gold,BTG,,0.649931567287,11382852.49468433,36869.97801955667,17513924,21000000,539.72,2017-10-23,Currency,2017-10-23T19:39:00.000Z,https://btgofficial.org/,bitcoin-gold
Zcash,ZEC,133.0,30.109469421523,482239469.77414674,12280116.708058774,16010049,21000000,5941.8,2016-10-29,Currency,2016-10-29T15:19:00.000Z,https://z.cash/,zcash
ICON,ICX,341.0,0.100534051511,106836211.24555181,2719456.337641598,1059969224,0,12.6387,2018-01-09,Chain,2017-10-27T00:19:00.000Z,https://icon.community/,icon
BNB,BNB,5.0,589.779253527733,86049883917.99855,371239150.76202524,145887576,0,792.875445889715,2024-12-04,Chain,2017-07-15T00:00:00.000Z,https://www.binance.com/?ref=TJXL28PT,bnb
Steem,STEEM,402.0,0.154334437551,79424575.74228881,32413822.80323366,509158189,0,8.57442,2018-01-03,Social,2016-04-18T16:19:00.000Z,https://steem.com/,steem
Verge,XVG,422.0,0.004423589516,73292926.02019022,4385560.269399464,16521951236,16555000000,0.300588,2017-12-23,Currency,2015-08-12T00:04:00.000Z,http://vergecurrency.com/,verge
Stratis,STRAX,308.0,0.060810526654,124960853.99675053,27207699.154552553,2055022448,0,22.6555,2018-01-08,Chain,2016-08-12T01:45:00.000Z,http://stratisplatform.com/,stratis
Bytecoin,BCN,,2.5827936e-05,4749591.53184,9860.63228045376,184020000000,184470000000,0.0301338,2018-05-08,Currency,2015-08-12T00:04:00.000Z,https://bytecoin.org/,bytecoin-bcn
Siacoin,SC,232.0,0.003371709451,194891631.64437002,15241265.020099914,57740361723,0,0.111708,2018-01-06,Blockchain Infrastructure,2015-08-26T18:19:00.000Z,https://sia.tech/,siacoin
Electroneum,ETN,730.0,0.001480688273,26724379.587983623,3401467.730397138,17979817605,21000000000,0.236234,2017-11-02,Currency,2017-11-02T00:24:00.000Z,http://electroneum.com/,electroneum
