name,symbol,rank,price_usd,market_cap,volume_24h,circulating_supply,max_supply,all_time_high,ath_date,category,launch_date,website,coin_key
Bitcoin,BTC,1.0,84588.76908196067,1678314654736.8992,7844191039.067007,19852975,21000000,108824.38453571018,2025-01-20,Currency,2010-03-17T00:00:00.000Z,https://bitcoin.org/,bitcoin
EOS,EOS,70.0,0.624872159424,947476775.5153906,88996911.92835677,1516885789,0,22.8904,2018-04-29,Chain,2017-07-01T19:14:00.000Z,https://eosnetwork.com/,eos
Ethereum,ETH,2.0,1587.403481047279,191248353718.2058,3889404269.2742414,120700645,0,4859.61823224,2021-11-10,Chain,2015-07-30T00:00:00.000Z,https://www.ethereum.org/,ethereum
NEO,NEO,150.0,5.612626539949,395052072.772035,16021611.84544247,70530000,100000000,196.853,2018-01-15,Chain,2016-09-09T03:09:00.000Z,https://neo.org/,neo
XRP,XRP,4.0,2.073522937646,121037716335.50348,1459678247.840201,58338141684,100000000000,3.84194,2018-01-04,Currency,2013-08-04T18:51:00.000Z,https://ripple.com/,ripple
Stellar,XLM,18.0,0.243792422519,7510209628.35206,80895724.30429377,30833170004,50001786911,0.938144,2018-01-04,Chain,2014-08-05T05:44:00.000Z,https://www.stellar.org,stellar
Cardano,ADA,10.0,0.615036430316,22085772728.192554,271990920.210225,36010655200,45000000000,3.08461573,2021-09-02,Chain,2017-10-01T20:34:00.000Z,https://www.cardano.org,cardano
Litecoin,LTC,23.0,75.637728274626,5726524129.871299,135754844.70511824,75757489,84000000,415.05832129,2021-05-10,Currency,2013-04-28T18:47:00.000Z,https://www.litecoin.net/,litecoin
Bitcoin Cash,BCH,22.0,331.30168680518,6567124779.728122,60332180.98730842,19857591,21000000,4355.62,2017-12-20,Currency,2017-07-23T16:29:00.000Z,https://bch.info/,bitcoin-cash
IOTA,IOTA,95.0,0.159917117944,595847605.1065727,16695441.368614858,3727086003,4600000000,5.69002,2017-12-19,Chain,2017-06-13T00:00:00.000Z,https://www.iota.org/,iota
