type,date,price,raised,coin_key
ICO,2018-06-26,4.47,4196874404,eos
ICO,2014-09-02,0.311,18300000,ethereum
ICO,2015-03-11,0.0031,2015000,stellar
ICO,2015-10-15,0.0024,2510000,cardano
ICO,2016-03-17,0.0024,17010000,cardano
ICO,2016-08-18,0.0024,14220000,cardano
ICO,2017-02-08,0.0024,1730000,cardano
ICO,2017-05-10,0.0024,26770000,cardano
ICO,2015-12-21,0.00059,590000,iota
Private,,1.1e-05,70000,nem
ICO,,0.0,0,nem
ICO,2017-09-02,0.0019,76000000,tron
ICO,2017-09-20,0.11,42750000,icon
ICO,2017-07-21,0.15,15000000,bnb
ICO,2017-10-23,0.01,39934610,electroneum
ICO,2017-12-22,0.1,0,magiccoin
ICO,2017-12-16,2.0,0,dinastycoin
ICO,2017-11-01,0.61,0,quatloo
ICO,2017-10-23,0.0516,0,icobid
ICO,2017-10-16,0.0267,0,playercoin
ICO,2017-12-10,0.099,0,selfsell
