type,date,price,raised,coin_key
ICO,2018-06-26,4.47,4196874404,eos
ICO,2014-09-02,0.311,18300000,ethereum
ICO,2015-03-11,0.0031,2015000,stellar
ICO,2015-10-15,0.0024,2510000,cardano
ICO,2016-03-17,0.0024,17010000,cardano
ICO,2016-08-18,0.0024,14220000,cardano
ICO,2017-02-08,0.0024,1730000,cardano
ICO,2017-05-10,0.0024,26770000,cardano
ICO,2015-12-21,0.00059,590000,iota
Private,,1.1e-05,70000,nem
ICO,,0.0,0,nem
ICO,2017-09-02,0.0019,76000000,tron
ICO,2017-09-20,0.11,42750000,icon
ICO,2017-07-21,0.15,15000000,bnb
ICO,2018-05-31,0.188,16000000,waves
ICO,2017-06-19,0.284,0,aeternity
ICO,2017-10-23,0.01,39934610,electroneum
ICO,2017-09-17,0.25,25000000,kucoin-shares
Angel,,0.0,0,kucoin-shares
ICO,2017-12-20,0.0034,19770000,zilliqa
Private,,0.0038807,2230000,zilliqa
Pre-sale,,0.0,0,zilliqa
ICO,2017-11-24,1.0,20000000,aion
ICO,2017-12-16,2.0,60000000,nebulas-token
ICO,2018-01-03,0.004167,35000000,iostoken
Strategic,,0.0,0,iostoken
ICO,2017-12-22,0.1,0,magiccoin
ICO,2017-12-16,2.0,0,dinastycoin
ICO,2017-11-18,1.0,0,ammo-reloaded
ICO,2017-10-29,0.1,0,fuelcoin
ICO,2017-10-16,2.58,0,mao-zedong
ICO,2017-11-30,0.2,0,dappster
ICO,2017-07-30,3.35,0,moac
ICO,2017-09-19,0.11,0,linkedcoin
ICO,2018-03-02,0.25,1000000,tomochain
Seed,,0.125,1960000,tomochain
Private,,0.2,6290000,tomochain
ICO,2017-12-26,5.46,40948500,tokenpay
ICO,2018-05-28,0.23,9650000,phantasma
