period,price_usd,price_btc,price_eth,coin_key
24H,84377.54243140722,1.0,52.96825766813239,bitcoin
YTD,93403.4032767955,1.0,28.0197324846923,bitcoin
7D,82651.5452935346,1.0,52.7409943776465,bitcoin
14D,82596.8142943726,1.0,46.2707751954778,bitcoin
MTD,82121.8780137051,1.0,45.5508009181091,bitcoin
30D,83404.4604277448,1.0,42.0901937142159,bitcoin
3M,104201.885107789,1.0,29.9501925326527,bitcoin
6M,68444.4723309677,1.0,25.9043701465241,bitcoin
1Y,63499.0761558325,1.0,20.6943310586934,bitcoin
3Y,41498.9065180182,1.0,13.3678730568382,bitcoin
24H,0.612515789925,7.2605144641e-06,0.00038436222703,eos
YTD,0.773893678608,8.2854976527e-06,0.00023215742773,eos
7D,0.632379932223,7.6574085426e-06,0.00040351779588,eos
14D,0.802669061194,9.7239041505e-06,0.00044963023249,eos
MTD,0.63763403501,7.765024587e-06,0.00035338669643,eos
30D,0.580602073669,6.9491191369e-06,0.00029376182562,eos
3M,0.989959765254,9.5004016888e-06,0.00028453885972,eos
6M,0.483515425181,7.0643458663e-06,0.00018299743016,eos
1Y,0.761039427126,1.19850472353e-05,0.00024802253524,eos
3Y,2.65143464275,6.3891674871e-05,0.00085409579906,eos
24H,1592.725473584623,0.0188761775667903,1.0,ethereum
YTD,3333.56459753538,0.0356899693221729,1.0,ethereum
7D,1567.09995875894,0.0189758150122694,1.0,ethereum
14D,1784.7484848807,0.0216212683891441,1.0,ethereum
MTD,1804.18781180663,0.0219711651965836,1.0,ethereum
30D,1976.41704430599,0.0236553710845757,1.0,ethereum
3M,3479.1604199581,0.0333886514275551,1.0,ethereum
6M,2642.18943700476,0.0386034013707971,1.0,ethereum
1Y,3067.32613692137,0.0483050513899427,1.0,ethereum
3Y,3104.37904076586,0.0748062853033968,1.0,ethereum
24H,5.3666128340090005,6.36585296797e-05,0.00336885886795,neo
YTD,13.554013702977,0.0001451126321683,0.00406592202023,neo
7D,5.29375237533,6.39440179014e-05,0.00336878615579,neo
14D,4.642996862922,5.59791249141e-05,0.00258619216763,neo
MTD,5.013609418407,6.13172675403e-05,0.00279914855773,neo
30D,8.408850936998,0.0001004741138673,0.00425914888024,neo
3M,17.045387094645,0.000163580410057,0.00489928173385,neo
6M,10.550355009375,0.0001541447344112,0.00399303504193,neo
1Y,19.286443707677,0.0003037279418105,0.00628770559333,neo
3Y,22.115476687303,0.0005329170945191,0.00712396147406,neo
24H,2.095493152535,2.48347260675e-05,0.00131566499519,ripple
YTD,2.079374825253,2.22623025747e-05,0.00062376917093,ripple
7D,2.018761463595,2.44449269959e-05,0.00128821486614,ripple
14D,2.046669871451,2.47943051749e-05,0.00114675534888,ripple
30D,2.311546103063,2.76664689796e-05,0.00116956393881,ripple
3M,3.312000968287,3.17844630628e-05,0.00095195408331,ripple
MTD,2.068912009771,2.51949421487e-05,0.00114672762793,ripple
6M,0.546320577225,7.9819532333e-06,0.00020676813311,ripple
1Y,0.506782089255,7.9809364157e-06,0.00016521949954,ripple
