slug,name,logo,tier,type,location,latestDeal,portfolio,portfolioData,retailRoi,focusArea,focusAreaData,avgRoundRaise,avgRoundRaiseData,preferredStage,preferredStageData,fundingRounds,leadInvestments,mainFundingCountry,mainFundingCountryData,twitterData,latest_deal_name,latest_deal_raise,twitter_username,twitter_followers
hash-key-capital,HashKey Capital,https://img.cryptorank.io/funds/60x60.hashkey capital1648749705706.png,1.0,Venture,Hong Kong,"{'key': 'meet-48', 'name': 'MEET48', 'icon': 'https://img.cryptorank.io/coins/60x60.meet_481743754967441.png', 'date': '2025-04-04T00:00:00.000Z', 'raise': None, 'isHidden': False}",261.0,"[{'key': 'secret', 'name': 'Secret Network', 'icon': 'https://img.cryptorank.io/coins/60x60.secret_network1732626984692.png'}, {'key': 'coinlist', 'name': 'Coinlist', 'icon': 'https://img.cryptorank.io/coins/60x60.coinlist1696255397519.png'}, {'key': 'assembly', 'name': 'Assembly', 'icon': 'https://img.cryptorank.io/coins/60x60.assembly1669645278244.png'}, {'key': 'braintrust', 'name': 'Braintrust', 'icon': 'https://img.cryptorank.io/coins/60x60.braintrust1630650370311.png'}, {'key': 'aztec', 'name': 'Aztec', 'icon': 'https://img.cryptorank.io/coins/60x60.aztec1671431774571.png'}]",1.80360645637018,Perpetuals,"[{'tag': 'Perpetuals', 'count': 3, 'percent': 18.75}, {'tag': 'Artificial Intelligence (AI)', 'count': 3, 'percent': 18.75}, {'tag': 'Data Service', 'count': 2, 'percent': 12.5}, {'tag': 'RWA', 'count': 2, 'percent': 12.5}, {'tag': 'Stablecoin Protocol', 'count': 2, 'percent': 12.5}, {'tag': 'DEX', 'count': 2, 'percent': 12.5}, {'tag': 'LSDfi', 'count': 2, 'percent': 12.5}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 70}","[{'raiseFrom': 0, 'raiseTo': 1000000, 'percent': 5}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 70}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 10}, {'raiseFrom': 20000000, 'raiseTo': 50000000, 'percent': 15}]",SEED,"[{'percent': 45, 'type': 'SEED'}, {'percent': 20, 'type': 'PRE SEED'}, {'percent': 10, 'type': 'SERIES A'}, {'percent': 10, 'type': 'STRATEGIC'}, {'percent': 5, 'type': 'Private Token Sale'}, {'percent': 10, 'type': None}]",224.0,21.0,United States,"[{'country': 'United States', 'count': 12}, {'country': 'Singapore', 'count': 4}, {'country': 'Hong Kong', 'count': 1}, {'country': 'India', 'count': 1}, {'country': 'Switzerland', 'count': 1}, {'country': 'United Kingdom', 'count': 1}]",,MEET48,,,
coinbase-ventures,Coinbase Ventures,https://img.cryptorank.io/funds/60x60.coinbase ventures1648494875227.png,1.0,Venture,United States,"{'key': 'momentum-finance', 'name': 'Momentum', 'icon': 'https://img.cryptorank.io/coins/60x60.momentum_finance1740402746988.png', 'date': '2025-03-31T00:00:00.000Z', 'raise': 5000000, 'isHidden': False}",423.0,"[{'key': 'ftx-token', 'name': 'FTX Token', 'icon': 'https://img.cryptorank.io/coins/60x60.ftx token1604331985959.png'}, {'key': 'yuga-labs', 'name': 'Yuga Labs', 'icon': 'https://img.cryptorank.io/coins/60x60.yuga_labs1667832024730.png'}, {'key': 'amber-group', 'name': 'Amber Group', 'icon': 'https://img.cryptorank.io/coins/60x60.amber_group1666607456481.png'}, {'key': 'sui', 'name': 'Sui', 'icon': 'https://img.cryptorank.io/coins/60x60.sui1683272105699.png'}, {'key': 'coinswitch-kuber', 'name': 'CoinSwitch Kuber', 'icon': 'https://img.cryptorank.io/coins/60x60.coin_switch_kuber1679296068380.png'}]",3.24885188646113,Payments,"[{'tag': 'Payments', 'count': 4, 'percent': 22.22}, {'tag': 'Wallet', 'count': 3, 'percent': 16.67}, {'tag': 'Data Service', 'count': 3, 'percent': 16.67}, {'tag': 'Yield Farming', 'count': 2, 'percent': 11.11}, {'tag': 'Digital Identity', 'count': 2, 'percent': 11.11}, {'tag': 'Binance Launchpool', 'count': 2, 'percent': 11.11}, {'tag': 'API', 'count': 2, 'percent': 11.11}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 50}","[{'raiseFrom': 0, 'raiseTo': 1000000, 'percent': 5}, {'raiseFrom': 1000000, 'raiseTo': 3000000, 'percent': 5}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 50}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 20}, {'raiseFrom': 20000000, 'raiseTo': 50000000, 'percent': 20}]",SEED,"[{'percent': 35, 'type': 'SEED'}, {'percent': 20, 'type': 'SERIES A'}, {'percent': 15, 'type': 'M&A'}, {'percent': 15, 'type': 'STRATEGIC'}, {'percent': 5, 'type': 'SERIES B'}, {'percent': 10, 'type': None}]",402.0,25.0,United States,"[{'country': 'United States', 'count': 14}, {'country': 'British Virgin Islands', 'count': 1}, {'country': 'Colombia', 'count': 1}, {'country': 'France', 'count': 1}, {'country': 'Germany', 'count': 1}, {'country': 'Switzerland', 'count': 1}]","{'twitterUsername': 'cbventures', 'followersCount': 47699, 'latestFollowings': []}",Momentum,5000000.0,cbventures,47699.0
delphi-ventures,Delphi Ventures,https://img.cryptorank.io/funds/60x60.delphi_ventures1718265261028.png,1.0,Venture,,"{'key': 'ambient', 'name': 'Ambient', 'icon': 'https://img.cryptorank.io/coins/60x60.ambient1743501929032.png', 'date': '2025-03-31T00:00:00.000Z', 'raise': 7200000, 'isHidden': False}",160.0,"[{'key': 'sentient', 'name': 'Sentient', 'icon': 'https://img.cryptorank.io/coins/60x60.sentient1719927481531.png'}, {'key': '0-g-labs', 'name': '0G Labs', 'icon': 'https://img.cryptorank.io/coins/60x60.0_g_labs1711467106027.png'}, {'key': 'lido-dao', 'name': 'Lido', 'icon': 'https://img.cryptorank.io/coins/60x60.lido_dao_token1706874373711.png'}, {'key': 'dydx', 'name': 'dYdX', 'icon': 'https://img.cryptorank.io/coins/60x60.dydx1631104585976.png'}, {'key': 'eclipse-fnd', 'name': 'Eclipse', 'icon': 'https://img.cryptorank.io/coins/60x60.eclipse1722938609805.png'}]",163.101179811967,Artificial Intelligence (AI),"[{'tag': 'Artificial Intelligence (AI)', 'count': 5, 'percent': 21.74}, {'tag': 'Layer 1 (L1)', 'count': 4, 'percent': 17.39}, {'tag': 'DePIN', 'count': 3, 'percent': 13.04}, {'tag': 'Data Service', 'count': 3, 'percent': 13.04}, {'tag': 'Play to Earn (P2E)', 'count': 3, 'percent': 13.04}, {'tag': 'Developer Tools', 'count': 3, 'percent': 13.04}, {'tag': 'NFT elements', 'count': 2, 'percent': 8.7}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 45}","[{'raiseFrom': 0, 'raiseTo': 1000000, 'percent': 5}, {'raiseFrom': 1000000, 'raiseTo': 3000000, 'percent': 20}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 45}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 20}, {'raiseFrom': 20000000, 'raiseTo': 50000000, 'percent': 5}, {'raiseFrom': 50000000, 'raiseTo': None, 'percent': 5}]",SEED,"[{'percent': 35, 'type': 'SEED'}, {'percent': 30, 'type': 'SERIES A'}, {'percent': 15, 'type': 'PRE SEED'}, {'percent': 15, 'type': 'STRATEGIC'}, {'percent': 5, 'type': 'Pre-Series A'}]",140.0,27.0,United States,"[{'country': 'United States', 'count': 11}, {'country': 'Switzerland', 'count': 2}, {'country': 'Cayman Islands', 'count': 1}, {'country': 'France', 'count': 1}, {'country': 'Brazil', 'count': 1}, {'country': 'Liechtenstein', 'count': 1}]","{'twitterUsername': 'Delphi_Ventures', 'followersCount': 11413, 'latestFollowings': []}",Ambient,7200000.0,Delphi_Ventures,11413.0
circle,Circle,https://img.cryptorank.io/funds/60x60.circle1657897221100.png,1.0,Venture,United States,"{'key': 'momentum-finance', 'name': 'Momentum', 'icon': 'https://img.cryptorank.io/coins/60x60.momentum_finance1740402746988.png', 'date': '2025-03-31T00:00:00.000Z', 'raise': 5000000, 'isHidden': False}",99.0,"[{'key': 'sui', 'name': 'Sui', 'icon': 'https://img.cryptorank.io/coins/60x60.sui1683272105699.png'}, {'key': 'binance-us', 'name': 'Binance.US', 'icon': 'https://img.cryptorank.io/coins/60x60.binance_us1670944581843.png'}, {'key': 'near-protocol', 'name': 'Near Protocol', 'icon': 'https://img.cryptorank.io/coins/60x60.near_protocol1704147268278.png'}, {'key': 'kucoin-shares', 'name': 'KuCoin Token', 'icon': 'https://img.cryptorank.io/coins/60x60.ku_coin_token1679388762038.png'}, {'key': 'aptos', 'name': 'Aptos', 'icon': 'https://img.cryptorank.io/coins/60x60.aptos1652797629854.png'}]",4.25937927688064,Lending,"[{'tag': 'Lending', 'count': 3, 'percent': 18.75}, {'tag': 'Payments', 'count': 3, 'percent': 18.75}, {'tag': 'Layer 1 (L1)', 'count': 3, 'percent': 18.75}, {'tag': 'RWA', 'count': 3, 'percent': 18.75}, {'tag': 'Account Abstraction', 'count': 2, 'percent': 12.5}, {'tag': 'Yield Farming', 'count': 1, 'percent': 6.25}, {'tag': 'Social Network', 'count': 1, 'percent': 6.25}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 65}","[{'raiseFrom': 1000000, 'raiseTo': 3000000, 'percent': 15}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 65}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 5}, {'raiseFrom': 20000000, 'raiseTo': 50000000, 'percent': 15}]",SEED,"[{'percent': 60, 'type': 'SEED'}, {'percent': 15, 'type': 'STRATEGIC'}, {'percent': 10, 'type': 'PRE SEED'}, {'percent': 10, 'type': 'SERIES A'}, {'percent': 5, 'type': 'M&A'}]",95.0,3.0,United States,"[{'country': 'United States', 'count': 15}, {'country': 'Germany', 'count': 2}, {'country': 'Canada', 'count': 1}, {'country': 'Estonia', 'count': 1}, {'country': 'United Kingdom', 'count': 1}]",,Momentum,5000000.0,,
a16z-csx,a16z CSX,https://img.cryptorank.io/funds/60x60.a_16_z_csx1731497293907.png,1.0,Incubator,,"{'key': 'ambient', 'name': 'Ambient', 'icon': 'https://img.cryptorank.io/coins/60x60.ambient1743501929032.png', 'date': '2025-03-31T00:00:00.000Z', 'raise': None, 'isHidden': False}",34.0,"[{'key': 'opacity-network', 'name': 'Opacity Network', 'icon': 'https://img.cryptorank.io/coins/60x60.opacity_network1729068794559.png'}, {'key': 'neynar', 'name': 'Neynar', 'icon': 'https://img.cryptorank.io/coins/60x60.neynar1717083674862.png'}, {'key': 'pin-ai', 'name': 'PIN AI', 'icon': 'https://img.cryptorank.io/coins/60x60.pin_ai1725968428618.png'}, {'key': 'vlayer', 'name': 'Vlayer', 'icon': 'https://img.cryptorank.io/coins/60x60.vlayer1730805590606.png'}, {'key': 'pod-network', 'name': 'pod', 'icon': 'https://img.cryptorank.io/coins/60x60.pod1738074368360.png'}]",,Artificial Intelligence (AI),"[{'tag': 'Artificial Intelligence (AI)', 'count': 11, 'percent': 36.67}, {'tag': 'Layer 1 (L1)', 'count': 4, 'percent': 13.33}, {'tag': 'Data Service', 'count': 4, 'percent': 13.33}, {'tag': 'Art', 'count': 3, 'percent': 10}, {'tag': 'API', 'count': 3, 'percent': 10}, {'tag': 'Intellectual property', 'count': 3, 'percent': 10}, {'tag': 'Developer Tools', 'count': 2, 'percent': 6.67}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 50}","[{'raiseFrom': 0, 'raiseTo': 1000000, 'percent': 30}, {'raiseFrom': 1000000, 'raiseTo': 3000000, 'percent': 15}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 50}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 5}]",Incubation,"[{'percent': 40, 'type': 'Incubation'}, {'percent': 30, 'type': 'SEED'}, {'percent': 25, 'type': 'PRE SEED'}, {'percent': 5, 'type': 'Extended Seed'}]",38.0,4.0,United States,"[{'country': 'United States', 'count': 4}, {'country': 'United Kingdom', 'count': 2}, {'country': 'Bulgaria', 'count': 1}]",,Ambient,,,
polychain-capital,Polychain Capital,https://img.cryptorank.io/funds/60x60.polychain_capital1680073683609.png,1.0,Venture,United States,"{'key': 'warlock', 'name': 'Warlock', 'icon': 'https://img.cryptorank.io/coins/60x60.warlock1743089014575.png', 'date': '2025-03-27T00:00:00.000Z', 'raise': 8000000, 'isHidden': False}",206.0,"[{'key': 'solana', 'name': 'Solana', 'icon': 'https://img.cryptorank.io/coins/60x60.solana1606979093056.png'}, {'key': 'coinbase', 'name': 'Coinbase', 'icon': 'https://img.cryptorank.io/coins/60x60.coinbase1666618146857.png'}, {'key': 'coindcx', 'name': 'CoinDCX', 'icon': 'https://img.cryptorank.io/coins/60x60.coin_dcx1666959918467.png'}, {'key': 'avalanche', 'name': 'Avalanche', 'icon': 'https://img.cryptorank.io/coins/60x60.avalanche1629705441155.png'}, {'key': 'bitclout', 'name': 'Bitclout', 'icon': 'https://img.cryptorank.io/coins/60x60.bitclout1673252988366.png'}]",15.8341091223465,Stablecoin Protocol,"[{'tag': 'Stablecoin Protocol', 'count': 4, 'percent': 19.05}, {'tag': 'Bitcoin Scaling', 'count': 3, 'percent': 14.29}, {'tag': 'Layer 2 (L2)', 'count': 3, 'percent': 14.29}, {'tag': 'Yield Farming', 'count': 3, 'percent': 14.29}, {'tag': 'Artificial Intelligence (AI)', 'count': 3, 'percent': 14.29}, {'tag': 'LSDfi', 'count': 3, 'percent': 14.29}, {'tag': 'Restaking', 'count': 2, 'percent': 9.52}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 40}","[{'raiseFrom': 1000000, 'raiseTo': 3000000, 'percent': 15}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 40}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 20}, {'raiseFrom': 20000000, 'raiseTo': 50000000, 'percent': 15}, {'raiseFrom': 50000000, 'raiseTo': None, 'percent': 10}]",SEED,"[{'percent': 40, 'type': 'SEED'}, {'percent': 20, 'type': 'SERIES A'}, {'percent': 15, 'type': 'STRATEGIC'}, {'percent': 5, 'type': 'Private Token Sale'}, {'percent': 5, 'type': 'Extended Seed'}, {'percent': 15, 'type': None}]",242.0,135.0,United States,"[{'country': 'United States', 'count': 14}, {'country': 'Singapore', 'count': 2}, {'country': 'United Kingdom', 'count': 1}, {'country': 'Germany', 'count': 1}, {'country': 'Nigeria', 'count': 1}, {'country': 'South Korea', 'count': 1}]","{'twitterUsername': 'polychain', 'followersCount': 64956, 'latestFollowings': []}",Warlock,8000000.0,polychain,64956.0
sandeep-nailwal,Sandeep Nailwal,https://img.cryptorank.io/funds/60x60.sandeep_nailwal1684920130244.png,1.0,Angel Investor,India,"{'key': 'capx-ai', 'name': 'Capx AI', 'icon': 'https://img.cryptorank.io/coins/60x60.capx_ai1736847478115.png', 'date': '2025-03-26T00:00:00.000Z', 'raise': 3140000, 'isHidden': False}",129.0,"[{'key': 'layerzero', 'name': 'LayerZero', 'icon': 'https://img.cryptorank.io/coins/60x60.layer_zero1668092808242.png'}, {'key': 'berachain', 'name': 'Berachain', 'icon': 'https://img.cryptorank.io/coins/60x60.berachain1739357863462.png'}, {'key': 'succinct', 'name': 'Succinct', 'icon': 'https://img.cryptorank.io/coins/60x60.succinct1740058673300.png'}, {'key': 'alliance-dao', 'name': 'Alliance DAO', 'icon': 'https://img.cryptorank.io/coins/60x60.alliance_dao1678195396088.png'}, {'key': '0-g-labs', 'name': '0G Labs', 'icon': 'https://img.cryptorank.io/coins/60x60.0_g_labs1711467106027.png'}]",0.420392542948249,Artificial Intelligence (AI),"[{'tag': 'Artificial Intelligence (AI)', 'count': 4, 'percent': 23.53}, {'tag': 'Layer 2 (L2)', 'count': 3, 'percent': 17.65}, {'tag': 'Cloud Services', 'count': 2, 'percent': 11.76}, {'tag': 'Security', 'count': 2, 'percent': 11.76}, {'tag': 'EVM', 'count': 2, 'percent': 11.76}, {'tag': 'Layer 1 (L1)', 'count': 2, 'percent': 11.76}, {'tag': 'Developer Tools', 'count': 2, 'percent': 11.76}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 70}","[{'raiseFrom': 1000000, 'raiseTo': 3000000, 'percent': 10}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 70}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 5}, {'raiseFrom': 20000000, 'raiseTo': 50000000, 'percent': 15}]",SEED,"[{'percent': 50, 'type': 'SEED'}, {'percent': 15, 'type': 'STRATEGIC'}, {'percent': 15, 'type': 'PRE SEED'}, {'percent': 15, 'type': 'SERIES A'}, {'percent': 5, 'type': 'ANGEL'}]",129.0,4.0,United States,"[{'country': 'United States', 'count': 12}, {'country': 'Singapore', 'count': 2}, {'country': 'Poland', 'count': 1}, {'country': 'Portugal', 'count': 1}, {'country': 'Switzerland', 'count': 1}, {'country': 'United Kingdom', 'count': 1}]","{'twitterUsername': 'sandeepnailwal', 'followersCount': 336775, 'latestFollowings': []}",Capx AI,3140000.0,sandeepnailwal,336775.0
spartan-group,The Spartan Group,https://img.cryptorank.io/funds/60x60.the_spartan_group1729584485534.png,1.0,Venture,Hong Kong,"{'key': 'tarta-labs', 'name': 'Spot Zero', 'icon': 'https://img.cryptorank.io/coins/60x60.spot_zero1742985054219.png', 'date': '2025-03-25T00:00:00.000Z', 'raise': 4500000, 'isHidden': False}",223.0,"[{'key': 'matic-network', 'name': 'Polygon', 'icon': 'https://img.cryptorank.io/coins/60x60.polygon1698243029264.png'}, {'key': 'bit-dao', 'name': 'BitDAO', 'icon': 'https://img.cryptorank.io/coins/60x60.bit_dao1660819257511.png'}, {'key': 'consensys', 'name': 'ConsenSys', 'icon': 'https://img.cryptorank.io/coins/60x60.consen_sys1689061650473.png'}, {'key': 'sentient', 'name': 'Sentient', 'icon': 'https://img.cryptorank.io/coins/60x60.sentient1719927481531.png'}, {'key': 'fuel-labs', 'name': 'Fuel Network', 'icon': 'https://img.cryptorank.io/coins/60x60.fuel_network1679998086098.png'}]",8.19290073021859,Developer Tools,"[{'tag': 'Developer Tools', 'count': 4, 'percent': 20}, {'tag': 'EVM', 'count': 3, 'percent': 15}, {'tag': 'Play to Earn (P2E)', 'count': 3, 'percent': 15}, {'tag': 'Data Service', 'count': 3, 'percent': 15}, {'tag': 'DePIN', 'count': 3, 'percent': 15}, {'tag': 'Artificial Intelligence (AI)', 'count': 2, 'percent': 10}, {'tag': 'Intellectual property', 'count': 2, 'percent': 10}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 65}","[{'raiseFrom': 1000000, 'raiseTo': 3000000, 'percent': 10}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 65}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 20}, {'raiseFrom': 50000000, 'raiseTo': None, 'percent': 5}]",SEED,"[{'percent': 40, 'type': 'SEED'}, {'percent': 25, 'type': 'SERIES A'}, {'percent': 20, 'type': 'PRE SEED'}, {'percent': 10, 'type': 'STRATEGIC'}, {'percent': 5, 'type': 'Pre-Series A'}]",217.0,36.0,United States,"[{'country': 'United States', 'count': 6}, {'country': 'Germany', 'count': 2}, {'country': 'Australia', 'count': 1}, {'country': 'Cayman Islands', 'count': 1}, {'country': 'China', 'count': 1}, {'country': 'Estonia', 'count': 1}]","{'twitterUsername': 'TheSpartanGroup', 'followersCount': 71493, 'latestFollowings': []}",Spot Zero,4500000.0,TheSpartanGroup,71493.0
galaxy-digital,Galaxy,https://img.cryptorank.io/funds/60x60.galaxy1691061461595.png,1.0,Venture,United States,"{'key': 'chronicle-labs', 'name': 'Chronicle', 'icon': 'https://img.cryptorank.io/coins/60x60.chronicle1742910290000.png', 'date': '2025-03-25T00:00:00.000Z', 'raise': 12000000, 'isHidden': False}",127.0,"[{'key': 'matic-network', 'name': 'Polygon', 'icon': 'https://img.cryptorank.io/coins/60x60.polygon1698243029264.png'}, {'key': 'avalanche', 'name': 'Avalanche', 'icon': 'https://img.cryptorank.io/coins/60x60.avalanche1629705441155.png'}, {'key': 'blockdaemon', 'name': 'Blockdaemon', 'icon': 'https://img.cryptorank.io/coins/60x60.blockdaemon1662392391341.png'}, {'key': 'moonpay', 'name': 'MoonPay', 'icon': 'https://img.cryptorank.io/coins/60x60.moon_pay1668496356608.png'}, {'key': 'bakkt', 'name': 'Bakkt', 'icon': 'https://img.cryptorank.io/coins/60x60.bakkt1666772334156.png'}]",450.527436205775,Payments,"[{'tag': 'Payments', 'count': 5, 'percent': 25}, {'tag': 'Layer 1 (L1)', 'count': 3, 'percent': 15}, {'tag': 'Lending', 'count': 3, 'percent': 15}, {'tag': 'RWA', 'count': 3, 'percent': 15}, {'tag': 'Data Service', 'count': 2, 'percent': 10}, {'tag': 'EVM', 'count': 2, 'percent': 10}, {'tag': 'Binance Launchpool', 'count': 2, 'percent': 10}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 30}","[{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 30}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 25}, {'raiseFrom': 20000000, 'raiseTo': 50000000, 'percent': 20}, {'raiseFrom': 50000000, 'raiseTo': None, 'percent': 25}]",SERIES A,"[{'percent': 40, 'type': 'SERIES A'}, {'percent': 25, 'type': 'SEED'}, {'percent': 10, 'type': 'Debt Financing'}, {'percent': 5, 'type': 'Post-IPO Debt'}, {'percent': 5, 'type': 'PRE SEED'}, {'percent': 15, 'type': None}]",141.0,44.0,United States,"[{'country': 'United States', 'count': 16}, {'country': 'United Kingdom', 'count': 1}, {'country': 'Thailand', 'count': 1}, {'country': 'Canada', 'count': 1}, {'country': 'Hong Kong', 'count': 1}]","{'twitterUsername': 'GalaxyHQ', 'followersCount': 42187, 'latestFollowings': []}",Chronicle,12000000.0,GalaxyHQ,42187.0
stani-kulechov,Stani Kulechov,https://img.cryptorank.io/funds/60x60.stani_kulechov1678784089440.png,1.0,Angel Investor,United Kingdom,"{'key': 'chronicle-labs', 'name': 'Chronicle', 'icon': 'https://img.cryptorank.io/coins/60x60.chronicle1742910290000.png', 'date': '2025-03-25T00:00:00.000Z', 'raise': 12000000, 'isHidden': False}",63.0,"[{'key': 'near-protocol', 'name': 'Near Protocol', 'icon': 'https://img.cryptorank.io/coins/60x60.near_protocol1704147268278.png'}, {'key': 'layerzero', 'name': 'LayerZero', 'icon': 'https://img.cryptorank.io/coins/60x60.layer_zero1668092808242.png'}, {'key': 'infinex', 'name': 'Infinex', 'icon': 'https://img.cryptorank.io/coins/60x60.infinex1722961949767.png'}, {'key': 'alliance-dao', 'name': 'Alliance DAO', 'icon': 'https://img.cryptorank.io/coins/60x60.alliance_dao1678195396088.png'}, {'key': 'movement-labs', 'name': 'Movement', 'icon': 'https://img.cryptorank.io/coins/60x60.movement1733750235084.png'}]",2.9544473865213,NFT elements,"[{'tag': 'NFT elements', 'count': 3, 'percent': 17.65}, {'tag': 'Social Network', 'count': 3, 'percent': 17.65}, {'tag': 'Layer 2 (L2)', 'count': 3, 'percent': 17.65}, {'tag': 'Oracle', 'count': 2, 'percent': 11.76}, {'tag': 'Layer 1 (L1)', 'count': 2, 'percent': 11.76}, {'tag': 'Perpetuals', 'count': 2, 'percent': 11.76}, {'tag': 'DAO', 'count': 2, 'percent': 11.76}]","{'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 55}","[{'raiseFrom': 1000000, 'raiseTo': 3000000, 'percent': 15}, {'raiseFrom': 3000000, 'raiseTo': 10000000, 'percent': 55}, {'raiseFrom': 10000000, 'raiseTo': 20000000, 'percent': 10}, {'raiseFrom': 20000000, 'raiseTo': 50000000, 'percent': 15}, {'raiseFrom': 50000000, 'raiseTo': None, 'percent': 5}]",SEED,"[{'percent': 55, 'type': 'SEED'}, {'percent': 20, 'type': 'SERIES A'}, {'percent': 10, 'type': 'STRATEGIC'}, {'percent': 5, 'type': 'PRE SEED'}, {'percent': 5, 'type': 'Extended Series A'}, {'percent': 5, 'type': None}]",67.0,1.0,United States,"[{'country': 'United States', 'count': 6}, {'country': 'United Kingdom', 'count': 5}, {'country': 'Netherlands', 'count': 2}, {'country': 'Cayman Islands', 'count': 1}, {'country': 'Canada', 'count': 1}, {'country': 'Estonia', 'count': 1}]","{'twitterUsername': 'StaniKulechov', 'followersCount': 263619, 'latestFollowings': []}",Chronicle,12000000.0,StaniKulechov,263619.0
