Category,Question,YAKE Keywords,Severity Score,Variations
Legal and Compliance,In which jurisdictions is the digital asset/cryptocurrency operating?,"asset, cryptocurrency, operating, jurisdictions, digital",,[]
Legal and Compliance,What are the applicable laws and regulations in those jurisdictions?,"jurisdictions, applicable, laws, regulations",,[]
Legal and Compliance,Has the project obtained all necessary licenses and registrations?,"registrations, project, obtained, licenses",,[]
Legal and Compliance,What is the legal structure of the entity behind the digital asset?,"asset, legal, structure, entity, digital",,[]
Legal and Compliance,What are the legal rights and obligations of token holders?,"holders, legal, obligations, token",,[]
Legal and Compliance,"How does the project comply with data privacy regulations (e.g., GDPR)?","GDPR, regulations, project, comply, data",,[]
Legal and Compliance,"What data is collected from users, and how is it stored and protected?","users, protected, data, collected, stored",,[]
Legal and Compliance,What is the project's policy on data breaches and incident response?,"response, project, policy, data, breaches|plan, project, incident, response",,[]
Financial,What is the project's revenue model and financial performance?,"performance, project, revenue, model, financial",,[]
Financial,What is the token distribution and allocation?,"allocation, token, distribution",,[]
Financial,What is the token's utility and value proposition?,"proposition, token, utility|token, utility",,[]
Financial,What is the token's supply and demand dynamics?,"dynamics, token, supply, demand",,[]
Financial,Are there any risks of inflation or deflation?,"deflation, risks, inflation",,[]
Financial,What are the key financial risks associated with the digital asset?,"asset, key, financial, risks, digital",,[]
Financial,How does the project manage volatility and market fluctuations?,"fluctuations, project, manage, volatility, market",,[]
Financial,What are the potential risks of fraud or market manipulation?,"manipulation, potential, risks, fraud, market|volatility, potential, risks, market, manipulation",,[]
Technical,What blockchain technology is used?,"blockchain, technology|blockchain, technology, asset|blockchain, technology, secure|chosen, blockchain, technology, protocol",,[]
Technical,What is the security of the blockchain network?,"network, security, blockchain",,[]
Auditability,Has the blockchain been audited for vulnerabilities?,"vulnerabilities, blockchain, audited",,"[""Has the project's underlying code or protocol logic been audited for correctness and security vulnerabilities?""]"
Auditability,Are smart contracts used?,"smart, contracts|vulnerabilities, smart, contracts, audited|contracts immutable upgraded, smart contracts immutable, immutable upgraded changes|notified migration deadlines, migration deadlines, obsolete smart contracts|insurance code exploits, contracts covered insurance, smart contracts covered|smart contracts audited, contracts audited parties, contracts audited|irreversible losses mitigated, losses mitigated nfts, irreversible losses",,"['In smart contracts or documentation are stake holders rights clearly disclosed ?', 'Are token holder rights clearly disclosed in smart contracts or documentation?', 'Are token holder rights clearly disclosed in smart contracts or documentation ?', 'Are smart contracts written in audited, widely-used languages (e.g. Solidity, Vyper) ?', 'Are smart contracts written in widely-used, audited languages (e.g., Solidity, Vyper)', 'Are smart contracts written in audited, widely used languages (e.g., Solidity, Vyper)', 'Which programming languages (e.g., Solidity, Rust) are used for smart contracts, and are they audited for known vulnerabilities?', ""Do the smart contracts allow for automatic upgrades or emergency 'pause' functions, and under what conditions are these used?""]"
Technical,Have the smart contracts been audited for security and functionality?,"functionality, smart, contracts, audited, security",,[]
Technical,What is the risk of smart contract bugs or exploits?,"exploits, risk, smart, contract, bugs",,[]
Technical,Has the project undergone penetration testing and security audits?,"audits, project, undergone, penetration, testing",,[]
Technical,Are the private keys stored safely?,"safely, private, keys, stored",,[]
Technical,What are the procedures for recovering lost or stolen keys?,"keys, procedures, recovering, lost, stolen",,[]
Reputational and Strategic,What is the team's track record?,"record, team, track|identifiable, record, team, publicly, verifiable",,"['Who are business leaders, founders and core teams and what is their track record in crypto or fintech?', 'Who are the founders, executives and core team members and what is their track record in crypto or fintech?', 'Who are the founders, executives and core team members? Who is their background in crypto or fintech?', 'Identify the key founders, team members, and major investors, and what is their track record in the crypto or financial sector?']"
Legal and Compliance,Has the project obtained necessary licenses or approvals from regulatory bodies?,"bodies, project, obtained, licenses, approvals",,[]
Legal and Compliance,Are there any restrictions or bans on the asset in specific jurisdictions?,"jurisdictions, restrictions, bans, asset, specific",,[]
Legal and Compliance,"How does the project handle data privacy and protection (e.g., GDPR compliance)?","GDPR, protection, compliance, project, handle",,[]
Legal and Compliance,"Are there clear terms of service, disclaimers, and risk disclosures for users?","disclaimers, service, users, clear, terms",,[]
Legal and Compliance,Does the project have a legal opinion or whitepaper addressing its regulatory status?,"status, project, legal, opinion, whitepaper",,[]
Reputational and Strategic,Is the community engaged and supportive of the project?,"project, community, engaged, supportive",,[]
Reputational and Strategic,Are there any signs of manipulation or fake accounts inflating community metrics?,"metrics, signs, manipulation, fake, accounts",,[]
Reputational and Strategic,Does the project have a governance model that allows community participation?,"participation, project, governance, model, community",,[]
Reputational and Strategic,"Are there any grants, incentives, or developer programs to grow the ecosystem?","incentives, grants, ecosystem, developer, programs",,[]
Auditability,Has the project undergone a financial audit?,"audit, project, undergone, financial",,[]
Auditability,Are the project’s treasury and funds managed transparently?,"transparently, project, treasury, funds, managed",,[]
Auditability,How are funds raised through token sales or investments being allocated?,"allocated, funds, raised, token, sales",,[]
Auditability,Are there any concerns about the project’s financial sustainability or runway?,"runway, concerns, project, financial, sustainability|sustainability, concerns, project, long-term, viability|profitability, concerns, project, financial, sustainability",,[]
Reputational and Strategic,"What is the environmental impact of the cryptocurrency (e.g., energy consumption)?","cryptocurrency, energy, consumption, environmental, impact",,[]
Reputational and Strategic,Does the project promote social good or inclusivity?,"inclusivity, project, promote, social, good",,[]
Reputational and Strategic,Are there governance mechanisms in place to ensure fair decision-making?,"decision-making, governance, mechanisms, place, ensure",,[]
Reputational and Strategic,How does the project address ethical concerns related to its operations?,"operations, project, address, ethical, concerns",,[]
Legal and Compliance,Is the entity or project registered with any regulatory bodies?,"bodies, entity, project, registered, regulatory",,[]
Legal and Compliance,Is there a clear ownership structure for the project’s intellectual property?,"property, clear, ownership, structure, project",,[]
Technical,"Is the blockchain platform decentralized, or is it permissioned?","decentralized, permissioned, blockchain, platform",,[]
