fund_slug,description
avaloq,Investment activities in Switzerland (CH). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: avaloq.
avaloq,Investment activities in Austria (AT). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: avaloq.
avaloq,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: avaloq.
kns-group,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: kns-group.
kns-group,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: kns-group.
choco-up,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: choco-up.
heat-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: heat-capital.
heat-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: heat-capital.
okex,Investment activities in Ukraine (UA). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: okex.
coinf,Investment activities in Vietnam (VN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: coinf.
go-ventures,Investment activities in Indonesia (ID). Normal investments: 2. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: go-ventures.
cardstarter,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: cardstarter.
psquare-capital,"Investment activities in India (IN). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), DeFi (50.0%). Associated fund: psquare-capital."
psquare-capital,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: psquare-capital.
psquare-capital,Investment activities in Poland (PL). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: psquare-capital.
psquare-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: psquare-capital.
ar-ventures,Investment activities in Thailand (TH). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: ar-ventures.
surge,Investment activities in France (FR). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: surge.
surge,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: surge.
tokenomik,Investment activities in Indonesia (ID). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: tokenomik.
tokenomik,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: tokenomik.
centrality,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Service (50.0%), DeFi (50.0%). Associated fund: centrality."
coind,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), DeFi (50.0%). Associated fund: coind."
bbtv-holdings,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: bbtv-holdings.
development-bank-of-wales,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: development-bank-of-wales.
trustdao-capital,Investment activities in Norway (NO). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: trustdao-capital.
trustdao-capital,Investment activities in San Marino (SM). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: trustdao-capital.
trustdao-capital,Investment activities in UAE (AE). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: trustdao-capital.
blocksync-ventures,"Investment activities in United States (US). Normal investments: 7. Lead investments: 0. Main sectors: DeFi (71.43%), Blockchain Infrastructure (14.29%), NFT (14.29%). Associated fund: blocksync-ventures."
blocksync-ventures,"Investment activities in Singapore (SG). Normal investments: 4. Lead investments: 0. Main sectors: DeFi (75.0%), NFT (25.0%). Associated fund: blocksync-ventures."
blocksync-ventures,"Investment activities in India (IN). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (66.67%), DeFi (33.33%). Associated fund: blocksync-ventures."
blocksync-ventures,"Investment activities in United Kingdom (GB). Normal investments: 3. Lead investments: 0. Main sectors: DeFi (66.67%), GameFi (33.33%). Associated fund: blocksync-ventures."
blocksync-ventures,"Investment activities in South Korea (KR). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (50.0%). Associated fund: blocksync-ventures."
blocksync-ventures,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in Lithuania (LT). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in Malta (MT). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in Norway (NO). Normal investments: 1. Lead investments: 0. Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in Slovakia (SK). Normal investments: 1. Lead investments: 0. Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in Estonia (EE). Normal investments: 1. Lead investments: 0. Associated fund: blocksync-ventures.
blocksync-ventures,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Associated fund: blocksync-ventures.
national-science-foundation,"Investment activities in United States (US). Normal investments: 1. Lead investments: 3. Main sectors: Blockchain Service (50.0%), Social (25.0%), Chain (25.0%). Associated fund: national-science-foundation."
nem-ventures,"Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: nem-ventures."
nem-ventures,Investment activities in Chile (CL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nem-ventures.
bitnomial,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bitnomial.
blockware-solutions,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: blockware-solutions.
stone-ridge-asset-management,"Investment activities in United States (US). Normal investments: 2. Lead investments: 1. Main sectors: CeFi (66.67%), Blockchain Service (33.33%). Associated fund: stone-ridge-asset-management."
stronghold-resource-partners,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: stronghold-resource-partners.
bbsfinance,Investment activities in Estonia (EE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bbsfinance.
bbsfinance,Investment activities in San Marino (SM). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: bbsfinance.
bbsfinance,Investment activities in UAE (AE). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: bbsfinance.
orion-protocol,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: orion-protocol.
orion-protocol,Investment activities in Malta (MT). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: orion-protocol.
orion-protocol,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: orion-protocol.
fosun-international,Investment activities in Belize (BZ). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: fosun-international.
fosun-international,Investment activities in China (CN). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: fosun-international.
fosun-international,Investment activities in Germany (DE). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: fosun-international.
shenzhen-capital,Investment activities in China (CN). Normal investments: 5. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: shenzhen-capital.
dealean-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (66.67%), Blockchain Infrastructure (33.33%). Associated fund: dealean-capital."
dealean-capital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: dealean-capital.
dealean-capital,Investment activities in Taiwan (TW). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: dealean-capital.
dealean-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: dealean-capital.
bancor,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: bancor.
canaan-partners,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (50.0%), Chain (50.0%). Associated fund: canaan-partners."
tcv,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: tcv.
tcv,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: Others (100.0%). Associated fund: tcv.
shasta-ventures,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: shasta-ventures.
ape-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: ape-capital.
ape-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: ape-capital.
canary,Investment activities in Brazil (BR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: canary.
altered-ventures,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Social (100.0%). Associated fund: altered-ventures.
austin-rief-ventures,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: austin-rief-ventures.
divergent-ventures,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: divergent-ventures.
mastercard,Investment activities in United States (US). Normal investments: 2. Lead investments: 2. Main sectors: Blockchain Service (100.0%). Associated fund: mastercard.
mastercard,Investment activities in Brazil (BR). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: mastercard.
mastercard,Investment activities in Colombia (CO). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: mastercard.
alliance-bernstein,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: alliance-bernstein.
tenaya-capital,Investment activities in United States (US). Normal investments: 2. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: tenaya-capital.
quest-capital,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: quest-capital.
quest-capital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: quest-capital.
quest-capital,Investment activities in Ukraine (UA). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: quest-capital.
millennium-management,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: millennium-management.
amplifi,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: amplifi.
amplifi,Investment activities in Latvia (LV). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: amplifi.
