range,percentage,min,max,fund_slug
"$0 - $1,000,000",0.0,0,1000000.0,avaloq
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,avaloq
"$3,000,000 - $10,000,000",66.67,3000000,10000000.0,avaloq
"$10,000,000 - $20,000,000",33.33,10000000,20000000.0,avaloq
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,avaloq
"$50,000,000+",0.0,50000000,,avaloq
"$0 - $1,000,000",0.0,0,1000000.0,kns-group
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,kns-group
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,kns-group
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,kns-group
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,kns-group
"$50,000,000+",0.0,50000000,,kns-group
"$0 - $1,000,000",100.0,0,1000000.0,choco-up
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,choco-up
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,choco-up
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,choco-up
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,choco-up
"$50,000,000+",0.0,50000000,,choco-up
"$0 - $1,000,000",0.0,0,1000000.0,heat-capital
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,heat-capital
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,heat-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,heat-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,heat-capital
"$50,000,000+",0.0,50000000,,heat-capital
"$0 - $1,000,000",0.0,0,1000000.0,okex
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,okex
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,okex
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,okex
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,okex
"$50,000,000+",0.0,50000000,,okex
"$0 - $1,000,000",0.0,0,1000000.0,coinf
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,coinf
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,coinf
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,coinf
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,coinf
"$50,000,000+",0.0,50000000,,coinf
"$0 - $1,000,000",0.0,0,1000000.0,go-ventures
"$1,000,000 - $3,000,000",33.33,1000000,3000000.0,go-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,go-ventures
"$10,000,000 - $20,000,000",33.33,10000000,20000000.0,go-ventures
"$20,000,000 - $50,000,000",33.33,20000000,50000000.0,go-ventures
"$50,000,000+",0.0,50000000,,go-ventures
"$0 - $1,000,000",0.0,0,1000000.0,cardstarter
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,cardstarter
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,cardstarter
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,cardstarter
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,cardstarter
"$50,000,000+",0.0,50000000,,cardstarter
"$0 - $1,000,000",40.0,0,1000000.0,psquare-capital
"$1,000,000 - $3,000,000",40.0,1000000,3000000.0,psquare-capital
"$3,000,000 - $10,000,000",20.0,3000000,10000000.0,psquare-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,psquare-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,psquare-capital
"$50,000,000+",0.0,50000000,,psquare-capital
"$0 - $1,000,000",0.0,0,1000000.0,ar-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,ar-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,ar-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,ar-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,ar-ventures
"$50,000,000+",0.0,50000000,,ar-ventures
"$0 - $1,000,000",0.0,0,1000000.0,surge
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,surge
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,surge
"$10,000,000 - $20,000,000",50.0,10000000,20000000.0,surge
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,surge
"$50,000,000+",0.0,50000000,,surge
"$0 - $1,000,000",0.0,0,1000000.0,tokenomik
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,tokenomik
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,tokenomik
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,tokenomik
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,tokenomik
"$50,000,000+",0.0,50000000,,tokenomik
"$0 - $1,000,000",50.0,0,1000000.0,centrality
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,centrality
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,centrality
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,centrality
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,centrality
"$50,000,000+",0.0,50000000,,centrality
"$0 - $1,000,000",0.0,0,1000000.0,coind
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,coind
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,coind
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,coind
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,coind
"$50,000,000+",0.0,50000000,,coind
"$0 - $1,000,000",0.0,0,1000000.0,bbtv-holdings
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,bbtv-holdings
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,bbtv-holdings
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,bbtv-holdings
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bbtv-holdings
"$50,000,000+",0.0,50000000,,bbtv-holdings
"$0 - $1,000,000",33.33,0,1000000.0,development-bank-of-wales
"$1,000,000 - $3,000,000",33.33,1000000,3000000.0,development-bank-of-wales
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,development-bank-of-wales
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,development-bank-of-wales
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,development-bank-of-wales
"$50,000,000+",0.0,50000000,,development-bank-of-wales
"$0 - $1,000,000",0.0,0,1000000.0,trustdao-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,trustdao-capital
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,trustdao-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,trustdao-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,trustdao-capital
"$50,000,000+",0.0,50000000,,trustdao-capital
"$0 - $1,000,000",15.0,0,1000000.0,blocksync-ventures
