name,code,normal,lead,categories,fund_slug
Switzerland,CH,2,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",avaloq
Austria,AT,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",avaloq
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",avaloq
Singapore,SG,0,1,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",kns-group
United States,US,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",kns-group
Singapore,SG,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",choco-up
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",heat-capital
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",heat-capital
Ukraine,UA,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",okex
Vietnam,VN,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",coinf
Indonesia,ID,2,1,"[{'name': 'CeFi', 'count': 3, 'percent': 100.0}]",go-ventures
Germany,DE,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",cardstarter
India,IN,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",psquare-capital
Israel,IL,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",psquare-capital
Poland,PL,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",psquare-capital
United States,US,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",psquare-capital
Thailand,TH,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",ar-ventures
France,FR,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",surge
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",surge
Indonesia,ID,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",tokenomik
United States,US,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",tokenomik
United States,US,4,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 50.0}, {'name': 'DeFi', 'count': 2, 'percent': 50.0}]",centrality
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",coind
United States,US,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",bbtv-holdings
United Kingdom,GB,2,1,"[{'name': 'CeFi', 'count': 3, 'percent': 100.0}]",development-bank-of-wales
Norway,NO,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",trustdao-capital
San Marino,SM,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",trustdao-capital
UAE,AE,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",trustdao-capital
United States,US,7,0,"[{'name': 'DeFi', 'count': 5, 'percent': 71.43}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 14.29}, {'name': 'NFT', 'count': 1, 'percent': 14.29}]",blocksync-ventures
Singapore,SG,4,0,"[{'name': 'DeFi', 'count': 3, 'percent': 75.0}, {'name': 'NFT', 'count': 1, 'percent': 25.0}]",blocksync-ventures
India,IN,3,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'DeFi', 'count': 1, 'percent': 33.33}]",blocksync-ventures
United Kingdom,GB,3,0,"[{'name': 'DeFi', 'count': 2, 'percent': 66.67}, {'name': 'GameFi', 'count': 1, 'percent': 33.33}]",blocksync-ventures
South Korea,KR,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 50.0}]",blocksync-ventures
Hong Kong,HK,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",blocksync-ventures
Israel,IL,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",blocksync-ventures
Australia,AU,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",blocksync-ventures
Lithuania,LT,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",blocksync-ventures
Malta,MT,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",blocksync-ventures
Norway,NO,1,0,[],blocksync-ventures
France,FR,1,0,[],blocksync-ventures
Slovakia,SK,1,0,[],blocksync-ventures
Estonia,EE,1,0,[],blocksync-ventures
China,CN,1,0,[],blocksync-ventures
United States,US,1,3,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 50.0}, {'name': 'Social', 'count': 1, 'percent': 25.0}, {'name': 'Chain', 'count': 1, 'percent': 25.0}]",national-science-foundation
United States,US,1,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",nem-ventures
Chile,CL,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",nem-ventures
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",bitnomial
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",blockware-solutions
United States,US,2,1,"[{'name': 'CeFi', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",stone-ridge-asset-management
United States,US,2,0,"[{'name': 'CeFi', 'count': 2, 'percent': 100.0}]",stronghold-resource-partners
Estonia,EE,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",bbsfinance
San Marino,SM,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",bbsfinance
UAE,AE,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",bbsfinance
South Korea,KR,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",orion-protocol
Malta,MT,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",orion-protocol
Singapore,SG,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",orion-protocol
Belize,BZ,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",fosun-international
China,CN,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",fosun-international
Germany,DE,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",fosun-international
China,CN,5,0,"[{'name': 'Blockchain Service', 'count': 5, 'percent': 100.0}]",shenzhen-capital
United States,US,3,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 33.33}]",dealean-capital
Singapore,SG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",dealean-capital
Taiwan,TW,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",dealean-capital
United Kingdom,GB,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",dealean-capital
Singapore,SG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",bancor
United States,US,2,0,"[{'name': 'GameFi', 'count': 1, 'percent': 50.0}, {'name': 'Chain', 'count': 1, 'percent': 50.0}]",canaan-partners
Germany,DE,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",tcv
United Kingdom,GB,0,1,"[{'name': 'Others', 'count': 1, 'percent': 100.0}]",tcv
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",shasta-ventures
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",ape-capital
United States,US,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",ape-capital
Brazil,BR,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",canary
United States,US,0,1,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",altered-ventures
Israel,IL,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",austin-rief-ventures
United States,US,2,0,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",divergent-ventures
United States,US,2,2,"[{'name': 'Blockchain Service', 'count': 4, 'percent': 100.0}]",mastercard
Brazil,BR,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",mastercard
Colombia,CO,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",mastercard
United States,US,1,0,"[{'name': 'Others', 'count': 1, 'percent': 100.0}]",alliance-bernstein
United States,US,2,1,"[{'name': 'Blockchain Service', 'count': 3, 'percent': 100.0}]",tenaya-capital
Hong Kong,HK,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",quest-capital
Switzerland,CH,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",quest-capital
Ukraine,UA,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",quest-capital
United Kingdom,GB,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",millennium-management
Hong Kong,HK,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",amplifi
Latvia,LV,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",amplifi
Ukraine,UA,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",amplifi
UAE,AE,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",amplifi
United Kingdom,GB,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",amplifi
United States,US,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",capital-factory
France,FR,1,2,"[{'name': 'GameFi', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",e-ventures
United States,US,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",bridge-bank
Czech Republic,CZ,0,1,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",google-launchpad-accelerator
Ukraine,UA,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",google-launchpad-accelerator
United States,US,3,1,"[{'name': 'Others', 'count': 3, 'percent': 75.0}, {'name': 'Blockchain Service', 'count': 1, 'percent': 25.0}]",iconiq-capital
United States,US,1,0,"[{'name': 'Others', 'count': 1, 'percent': 100.0}]",fantail-ventures
United States,US,1,1,"[{'name': 'Social', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",victory-park-capital
Singapore,SG,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",singapore-exchange
United Kingdom,GB,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",singapore-exchange
Singapore,SG,2,0,"[{'name': 'CeFi', 'count': 2, 'percent': 100.0}]",tokai-tokyo-financial-holdings
United States,US,2,0,"[{'name': 'Social', 'count': 2, 'percent': 100.0}]",riverpark
Costa Rica,CR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",matic-foundation
Germany,DE,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",n26
United States,US,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",n26
Hong Kong,HK,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",axion-global-asset-management
Germany,DE,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",consorsbank
Singapore,SG,2,0,"[{'name': 'Social', 'count': 2, 'percent': 100.0}]",deepcore
United States,US,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",seikatsu-ventures
United Kingdom,GB,2,0,"[{'name': 'Social', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",ascension
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'Chain', 'count': 1, 'percent': 50.0}]",2020-ventures
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",2020-ventures
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",bidesk
United States,US,4,0,"[{'name': 'Blockchain Service', 'count': 3, 'percent': 75.0}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 25.0}]",inblockchain
Ireland,IE,2,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",inblockchain
Ireland,IE,1,1,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",first-star-ventures
United States,US,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",first-star-ventures
Costa Rica,CR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",decentraland-foundation
New Zealand,NZ,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",amatil-x-ventures
United Kingdom,GB,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",01ex
United States,US,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",01ex
United Kingdom,GB,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",2f-capital
Netherlands,NL,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",ifinex
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",celo-foundation
Philippines,PH,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",100x-group
Vietnam,VN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",100x-group
