id,slug,name,tier,category,country,tabs,fund_slug
7674,shenzhen-capital,Shenzhen Capital Group,3.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",China,"['analytics', 'fundingRounds', 'portfolio']",shenzhen-capital
7687,brand-capital,Brand Capital,3.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",India,"['fundingRounds', 'portfolio']",brand-capital
7534,tokensoft,Tokensoft,3.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",United States,"['analytics', 'fundingRounds', 'portfolio']",tokensoft
463,hash-global,Hash Global,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Hong Kong,"['analytics', 'fundingRounds', 'portfolio']",hash-global
9194,oak-grove-ventures,Oak Grove Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Singapore,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",oak-grove-ventures
10171,promontory-technologies,Promontory Technologies,4.0,"{'id': 4, 'name': 'Hedge Fund', 'slug': 'hedge'}",,"['analytics', 'fundingRounds', 'portfolio']",promontory-technologies
5507,hivemind-capital-partners,Hivemind Capital Partners,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",hivemind-capital-partners
11170,iron-key-capital,Iron Key Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",iron-key-capital
1906,selinicapital,Selini Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",selinicapital
9074,bockchain-builders-fund,Blockchain Builders Fund,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",bockchain-builders-fund
4071,finewill-capital,FineWill Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Singapore,"['analytics', 'fundingRounds', 'portfolio']",finewill-capital
418,archax,Archax,4.0,"{'id': 5, 'name': 'Exchange', 'slug': 'exchange'}",United Kingdom,"['analytics', 'fundingRounds', 'portfolio']",archax
10321,echo,echo,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",echo
10069,v3v-ventures,V3V Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",v3v-ventures
10228,colosseum,Colosseum,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",colosseum
10059,levitate-labs,Levitate Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",levitate-labs
