date,company,amount,stage,category,formatted_amount,timeline,fund_slug
"Sep 16, 2021","{'name': 'Coinfirm', 'key': 'coinfirm', 'logo': 'https://img.cryptorank.io/coins/60x60.coinfirm1667478627142.png'}",8000000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$8,000,000","Sep 16, 2021 • Series A",avaloq
"Jul 14, 2020","{'name': 'METACO', 'key': 'metaco', 'logo': 'https://img.cryptorank.io/coins/60x60.metaco1667389041618.png'}",17000000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$17,000,000","Jul 14, 2020 • Series A",avaloq
"Jul 07, 2021","{'name': 'Blockpit', 'key': 'blockpit', 'logo': 'https://img.cryptorank.io/coins/60x60.blockpit1672226518708.png'}",10000000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$10,000,000","Jul 07, 2021 • Series A",avaloq
"Apr 27, 2018","{'name': 'METACO', 'key': 'metaco', 'logo': 'https://img.cryptorank.io/coins/60x60.metaco1667389041618.png'}",0.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}",$0,"Apr 27, 2018 • Undisclosed",avaloq
"Sep 16, 2021","{'name': 'Domination Finance', 'key': 'domination-finance', 'logo': 'https://img.cryptorank.io/coins/60x60.domination_finance1672235772229.png'}",3200000.0,Seed,"{'name': 'DeFi', 'slug': 'defi'}","$3,200,000","Sep 16, 2021 • Seed",kns-group
"Apr 09, 2021","{'name': 'SafeStake', 'key': 'parastate', 'logo': 'https://img.cryptorank.io/coins/60x60.safe_stake1710919588502.png'}",5000000.0,Strategic,"{'name': 'DeFi', 'slug': 'defi'}","$5,000,000","Apr 09, 2021 • Strategic",kns-group
"Sep 16, 2021","{'name': 'BuzzAR', 'key': 'buzzar', 'logo': 'https://img.cryptorank.io/coins/60x60.buzz_ar1670846207469.png'}",630000.0,Debt Financing,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$630,000","Sep 16, 2021 • Debt Financing",choco-up
"Sep 15, 2021","{'name': 'Idexo Token', 'key': 'idexo-token', 'logo': 'https://img.cryptorank.io/coins/60x60.idexo token1645430543231.png'}",2500000.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$2,500,000","Sep 15, 2021 • Undisclosed",heat-capital
"Jun 03, 2021","{'name': 'Credmark', 'key': 'credmark', 'logo': 'https://img.cryptorank.io/coins/60x60.credmark1672325722867.png'}",5500000.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$5,500,000","Jun 03, 2021 • Undisclosed",heat-capital
"Sep 15, 2021","{'name': 'Aurora', 'key': 'aurora-evm', 'logo': 'https://img.cryptorank.io/coins/60x60.aurora1636629298801.png'}",0.0,Strategic,"{'name': 'Chain', 'slug': 'chain'}",$0,"Sep 15, 2021 • Strategic",okex
"Sep 14, 2021","{'name': 'Heroes & Empires', 'key': 'heroes-and-empires', 'logo': 'https://img.cryptorank.io/coins/60x60.heroes & empires1633332744648.png'}",1500000.0,Strategic,"{'name': 'GameFi', 'slug': 'gamefi'}","$1,500,000","Sep 14, 2021 • Strategic",coinf
"Sep 13, 2021","{'name': 'Pluang', 'key': 'pluang', 'logo': 'https://img.cryptorank.io/coins/60x60.pluang1672134281884.png'}",35000000.0,Series B,"{'name': 'CeFi', 'slug': 'ce-fi'}","$35,000,000","Sep 13, 2021 • Series B",go-ventures
"Sep 11, 2019","{'name': 'Pluang', 'key': 'pluang', 'logo': 'https://img.cryptorank.io/coins/60x60.pluang1672134281884.png'}",3000000.0,Series A,"{'name': 'CeFi', 'slug': 'ce-fi'}","$3,000,000","Sep 11, 2019 • Series A",go-ventures
"Mar 22, 2021","{'name': 'Pluang', 'key': 'pluang', 'logo': 'https://img.cryptorank.io/coins/60x60.pluang1672134281884.png'}",20000000.0,Pre-Series B,"{'name': 'CeFi', 'slug': 'ce-fi'}","$20,000,000","Mar 22, 2021 • Pre-Series B",go-ventures
"Sep 07, 2021","{'name': 'Matrix Labs', 'key': 'matrix-labs', 'logo': 'https://img.cryptorank.io/coins/60x60.matrix labs1643793216014.png'}",1250000.0,Private Token Sale,"{'name': 'DeFi', 'slug': 'defi'}","$1,250,000","Sep 07, 2021 • Private Token Sale",cardstarter
"Sep 05, 2021","{'name': 'Snook', 'key': 'snook', 'logo': 'https://img.cryptorank.io/coins/60x60.snook1630500651820.png'}",2400000.0,Seed,"{'name': 'GameFi', 'slug': 'gamefi'}","$2,400,000","Sep 05, 2021 • Seed",psquare-capital
"May 17, 2021","{'name': 'Knit Finance', 'key': 'knit-finance', 'logo': 'https://img.cryptorank.io/coins/60x60.knit finance1621234159719.png'}",1000000.0,Private Token Sale,"{'name': 'DeFi', 'slug': 'defi'}","$1,000,000","May 17, 2021 • Private Token Sale",psquare-capital
"Jun 24, 2021","{'name': 'XP.NETWORK', 'key': 'xp-network', 'logo': 'https://img.cryptorank.io/coins/60x60.xp_network1720706643270.png'}",4500000.0,Seed,"{'name': 'NFT', 'slug': 'non-fungible-tokens-nft'}","$4,500,000","Jun 24, 2021 • Seed",psquare-capital
"Feb 27, 2021","{'name': 'Playcent', 'key': 'playcent', 'logo': 'https://img.cryptorank.io/coins/60x60.playcent1614265838212.png'}",1000000.0,Private Token Sale,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$1,000,000","Feb 27, 2021 • Private Token Sale",psquare-capital
"Feb 23, 2021","{'name': 'Kylin Network', 'key': 'kylinnetwork', 'logo': 'https://img.cryptorank.io/coins/60x60.kylin network1614590362898.png'}",2700000.0,Strategic,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}","$2,700,000","Feb 23, 2021 • Strategic",psquare-capital
"Sep 01, 2021","{'name': 'Nakamoto Games', 'key': 'nakamoto-games', 'logo': 'https://img.cryptorank.io/coins/60x60.nakamoto games1634624573189.png'}",0.0,Strategic,"{'name': 'GameFi', 'slug': 'gamefi'}",$0,"Sep 01, 2021 • Strategic",ar-ventures
"Aug 17, 2021","{'name': 'Klub', 'key': 'klub', 'logo': 'https://img.cryptorank.io/coins/60x60.klub1672411665303.png'}",20000000.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$20,000,000","Aug 17, 2021 • Seed",surge
"Apr 04, 2020","{'name': 'Nuo', 'key': 'nuo', 'logo': 'https://img.cryptorank.io/coins/60x60.nuo1676274809823.png'}",3000000.0,Seed,"{'name': 'DeFi', 'slug': 'defi'}","$3,000,000","Apr 04, 2020 • Seed",surge
"May 19, 2021","{'name': 'Project SEED', 'key': 'project-seed', 'logo': 'https://img.cryptorank.io/coins/60x60.project_seed1706278197946.png'}",0.0,Strategic,"{'name': 'GameFi', 'slug': 'gamefi'}",$0,"May 19, 2021 • Strategic",tokenomik
"Aug 13, 2021","{'name': 'ReSource Protocol', 'key': 'resource-protocol', 'logo': 'https://img.cryptorank.io/coins/60x60.resource1634724691842.png'}",1700997.86,Seed,"{'name': 'DeFi', 'slug': 'defi'}","$1,700,997.86","Aug 13, 2021 • Seed",tokenomik
"Sep 11, 2020","{'name': 'BarnBridge', 'key': 'barnbridge', 'logo': 'https://img.cryptorank.io/coins/60x60.barnbridge1603696850810.png'}",1000000.0,Seed,"{'name': 'DeFi', 'slug': 'defi'}","$1,000,000","Sep 11, 2020 • Seed",centrality
"May 25, 2021","{'name': 'Evertas', 'key': 'evertas', 'logo': 'https://img.cryptorank.io/coins/60x60.evertas1667390609437.png'}",5800000.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$5,800,000","May 25, 2021 • Seed",centrality
"Jun 17, 2021","{'name': 'Streams', 'key': 'streams', 'logo': 'https://img.cryptorank.io/coins/60x60.streams1672406650052.png'}",1000000.0,Pre Seed,"{'name': 'DeFi', 'slug': 'defi'}","$1,000,000","Jun 17, 2021 • Pre Seed",centrality
"Aug 03, 2021","{'name': 'ZenLedger', 'key': 'zenledger', 'logo': 'https://img.cryptorank.io/coins/60x60.zen_ledger1695894647528.png'}",6000000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$6,000,000","Aug 03, 2021 • Series A",centrality
"May 16, 2018","{'name': 'Compound ', 'key': 'compound', 'logo': 'https://img.cryptorank.io/coins/60x60.compound 1592221902093.png'}",8200000.0,Seed,"{'name': 'DeFi', 'slug': 'defi'}","$8,200,000","May 16, 2018 • Seed",coind
"Aug 03, 2021","{'name': 'ZenLedger', 'key': 'zenledger', 'logo': 'https://img.cryptorank.io/coins/60x60.zen_ledger1695894647528.png'}",6000000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$6,000,000","Aug 03, 2021 • Series A",coind
"Jul 12, 2021","{'name': ""Nifty's"", 'key': 'niftys', 'logo': 'https://img.cryptorank.io/coins/60x60.niftys1673249902423.png'}",10000000.0,Seed,"{'name': 'NFT', 'slug': 'non-fungible-tokens-nft'}","$10,000,000","Jul 12, 2021 • Seed",bbtv-holdings
"Jul 14, 2020","{'name': 'Coincover', 'key': 'coincover', 'logo': 'https://img.cryptorank.io/coins/60x60.coincover1667384022208.png'}",1700000.0,Seed,"{'name': 'CeFi', 'slug': 'ce-fi'}","$1,700,000","Jul 14, 2020 • Seed",development-bank-of-wales
"Jul 08, 2021","{'name': 'Coincover', 'key': 'coincover', 'logo': 'https://img.cryptorank.io/coins/60x60.coincover1667384022208.png'}",9200000.0,Series A,"{'name': 'CeFi', 'slug': 'ce-fi'}","$9,200,000","Jul 08, 2021 • Series A",development-bank-of-wales
"Dec 12, 2018","{'name': 'Coincover', 'key': 'coincover', 'logo': 'https://img.cryptorank.io/coins/60x60.coincover1667384022208.png'}",960000.0,Pre Seed,"{'name': 'CeFi', 'slug': 'ce-fi'}","$960,000","Dec 12, 2018 • Pre Seed",development-bank-of-wales
"May 24, 2021","{'name': 'Mintlayer', 'key': 'mintlayer', 'logo': 'https://img.cryptorank.io/coins/60x60.mintlayer1637052009266.png'}",5200000.0,Seed,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}","$5,200,000","May 24, 2021 • Seed",trustdao-capital
"Jun 29, 2021","{'name': 'IAGON', 'key': 'iagon', 'logo': 'https://img.cryptorank.io/coins/60x60.iagon1627486130663.png'}",3400000.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$3,400,000","Jun 29, 2021 • Seed",trustdao-capital
"Jun 03, 2021","{'name': 'DeFi11', 'key': 'defi-11', 'logo': 'https://img.cryptorank.io/coins/60x60.defi111632152869290.png'}",3500000.0,Seed,"{'name': 'GameFi', 'slug': 'gamefi'}","$3,500,000","Jun 03, 2021 • Seed",trustdao-capital
"Jun 24, 2021","{'name': 'XP.NETWORK', 'key': 'xp-network', 'logo': 'https://img.cryptorank.io/coins/60x60.xp_network1720706643270.png'}",4500000.0,Seed,"{'name': 'NFT', 'slug': 'non-fungible-tokens-nft'}","$4,500,000","Jun 24, 2021 • Seed",blocksync-ventures
"Jun 17, 2021","{'name': 'Unreal Finance', 'key': 'unreal-finance', 'logo': 'https://img.cryptorank.io/coins/60x60.unreal finance1620730286270.png'}",2700000.0,Seed,"{'name': 'DeFi', 'slug': 'defi'}","$2,700,000","Jun 17, 2021 • Seed",blocksync-ventures
"Jun 16, 2021","{'name': 'Trace Network Labs', 'key': 'trace-network-labs', 'logo': 'https://img.cryptorank.io/coins/60x60.trace_network_labs1678693377488.png'}",1600000.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$1,600,000","Jun 16, 2021 • Seed",blocksync-ventures
"Jun 02, 2021","{'name': 'Chronicle', 'key': 'chronicle', 'logo': 'https://img.cryptorank.io/coins/60x60.chronicle1728310443769.png'}",3200000.0,Seed,"{'name': 'NFT', 'slug': 'non-fungible-tokens-nft'}","$3,200,000","Jun 02, 2021 • Seed",blocksync-ventures
"Jun 02, 2021","{'name': '2crazyNFT', 'key': '2crazynft', 'logo': 'https://img.cryptorank.io/coins/60x60.2crazynft1629883975149.png'}",1700000.0,Seed,"{'name': 'NFT', 'slug': 'non-fungible-tokens-nft'}","$1,700,000","Jun 02, 2021 • Seed",blocksync-ventures
"Jun 15, 2021","{'name': 'Taekion', 'key': 'taekion', 'logo': 'https://img.cryptorank.io/coins/60x60.taekion1673534412802.png'}",1000000.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$1,000,000","Jun 15, 2021 • Undisclosed",national-science-foundation
"Jul 28, 2019","{'name': 'NXM LABS', 'key': 'nxm-labs', 'logo': 'https://img.cryptorank.io/coins/60x60.nxm_labs1677151360274.png'}",223675.0,Grant,"{'name': 'Social', 'slug': 'social'}","$223,675","Jul 28, 2019 • Grant",national-science-foundation
"Jan 06, 2020","{'name': 'Taekion', 'key': 'taekion', 'logo': 'https://img.cryptorank.io/coins/60x60.taekion1673534412802.png'}",224646.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$224,646","Jan 06, 2020 • Undisclosed",national-science-foundation
"Feb 08, 2019","{'name': 'Autonomys Network', 'key': 'autonomys-network', 'logo': 'https://img.cryptorank.io/coins/60x60.autonomys_network1738828262110.png'}",0.0,Undisclosed,"{'name': 'Chain', 'slug': 'chain'}",$0,"Feb 08, 2019 • Undisclosed",national-science-foundation
"Mar 13, 2018","{'name': 'LOCALLY', 'key': 'locally', 'logo': 'https://img.cryptorank.io/coins/60x60.locally1673606378073.png'}",1000000.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$1,000,000","Mar 13, 2018 • Undisclosed",nem-ventures
"Jun 09, 2021","{'name': 'Hummingbot', 'key': 'hummingbot', 'logo': 'https://img.cryptorank.io/coins/60x60.hummingbot1673254641715.png'}",8000000.0,Series A,"{'name': 'CeFi', 'slug': 'ce-fi'}","$8,000,000","Jun 09, 2021 • Series A",nem-ventures
"Jul 22, 2020","{'name': 'SharpShark', 'key': 'sharpshark', 'logo': 'https://img.cryptorank.io/coins/60x60.sharp_shark1667482388911.png'}",0.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}",$0,"Jul 22, 2020 • Seed",nem-ventures
"Jan 07, 2021","{'name': 'DAO Maker', 'key': 'dao-token', 'logo': 'https://img.cryptorank.io/coins/60x60.dao maker token1605425861074.png'}",0.0,Strategic,"{'name': 'DeFi', 'slug': 'defi'}",$0,"Jan 07, 2021 • Strategic",nem-ventures
"Jun 09, 2021","{'name': 'Luxor', 'key': 'luxor', 'logo': 'https://img.cryptorank.io/coins/60x60.luxor1673511900770.png'}",5000000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$5,000,000","Jun 09, 2021 • Series A",bitnomial
"Feb 16, 2021","{'name': 'Luxor', 'key': 'luxor', 'logo': 'https://img.cryptorank.io/coins/60x60.luxor1673511900770.png'}",725000.0,Pre Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$725,000","Feb 16, 2021 • Pre Seed",bitnomial
"Jun 09, 2021","{'name': 'Luxor', 'key': 'luxor', 'logo': 'https://img.cryptorank.io/coins/60x60.luxor1673511900770.png'}",5000000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$5,000,000","Jun 09, 2021 • Series A",blockware-solutions
"Mar 08, 2021","{'name': 'NYDIG', 'key': 'nydig', 'logo': 'https://img.cryptorank.io/coins/60x60.nydig1666600132832.png'}",0.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}",$0,"Mar 08, 2021 • Undisclosed",stone-ridge-asset-management
"Jun 07, 2021","{'name': 'Unchained Capital', 'key': 'unchained-capital', 'logo': 'https://img.cryptorank.io/coins/60x60.unchained_capital1672318075826.png'}",25000000.0,Series A,"{'name': 'CeFi', 'slug': 'ce-fi'}","$25,000,000","Jun 07, 2021 • Series A",stone-ridge-asset-management
"Apr 21, 2021","{'name': 'Alto', 'key': 'alto', 'logo': 'https://img.cryptorank.io/coins/60x60.alto1664972706184.png'}",17000000.0,Series A,"{'name': 'CeFi', 'slug': 'ce-fi'}","$17,000,000","Apr 21, 2021 • Series A",stone-ridge-asset-management
"Mar 02, 2021","{'name': 'Unchained Capital', 'key': 'unchained-capital', 'logo': 'https://img.cryptorank.io/coins/60x60.unchained_capital1672318075826.png'}",5500000.0,Seed,"{'name': 'CeFi', 'slug': 'ce-fi'}","$5,500,000","Mar 02, 2021 • Seed",stronghold-resource-partners
"Jun 07, 2021","{'name': 'Unchained Capital', 'key': 'unchained-capital', 'logo': 'https://img.cryptorank.io/coins/60x60.unchained_capital1672318075826.png'}",25000000.0,Series A,"{'name': 'CeFi', 'slug': 'ce-fi'}","$25,000,000","Jun 07, 2021 • Series A",stronghold-resource-partners
"May 24, 2021","{'name': 'Mintlayer', 'key': 'mintlayer', 'logo': 'https://img.cryptorank.io/coins/60x60.mintlayer1637052009266.png'}",5200000.0,Seed,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}","$5,200,000","May 24, 2021 • Seed",bbsfinance
"Jun 03, 2021","{'name': 'DeFi11', 'key': 'defi-11', 'logo': 'https://img.cryptorank.io/coins/60x60.defi111632152869290.png'}",3500000.0,Seed,"{'name': 'GameFi', 'slug': 'gamefi'}","$3,500,000","Jun 03, 2021 • Seed",bbsfinance
"Jan 25, 2021","{'name': 'CoverCompared', 'key': 'polka-cover', 'logo': 'https://img.cryptorank.io/coins/60x60.covercompared1653321685816.png'}",1000000.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$1,000,000","Jan 25, 2021 • Seed",bbsfinance
"May 27, 2021","{'name': 'Polytrade', 'key': 'polytrade', 'logo': 'https://img.cryptorank.io/coins/60x60.polytrade1680179195369.png'}",1200000.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$1,200,000","May 27, 2021 • Undisclosed",orion-protocol
"Jun 02, 2021","{'name': '2crazyNFT', 'key': '2crazynft', 'logo': 'https://img.cryptorank.io/coins/60x60.2crazynft1629883975149.png'}",1700000.0,Seed,"{'name': 'NFT', 'slug': 'non-fungible-tokens-nft'}","$1,700,000","Jun 02, 2021 • Seed",orion-protocol
"Jan 07, 2021","{'name': 'DAO Maker', 'key': 'dao-token', 'logo': 'https://img.cryptorank.io/coins/60x60.dao maker token1605425861074.png'}",0.0,Strategic,"{'name': 'DeFi', 'slug': 'defi'}",$0,"Jan 07, 2021 • Strategic",orion-protocol
"Apr 13, 2021","{'name': 'NFT Tech', 'key': 'nfttech', 'logo': 'https://img.cryptorank.io/coins/60x60.nft tech1618837775361.png'}",0.0,Undisclosed,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}",$0,"Apr 13, 2021 • Undisclosed",orion-protocol
"May 27, 2021","{'name': 'Yunphant Blockchain', 'key': 'yunphant-blockchain', 'logo': 'https://img.cryptorank.io/coins/60x60.yunphant_blockchain1677849506929.png'}",15000000.0,Series B,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$15,000,000","May 27, 2021 • Series B",fosun-international
