range,percentage,min,max,fund_slug
"$0 - $1,000,000",5.0,0,1000000.0,hash-key-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,hash-key-capital
"$3,000,000 - $10,000,000",70.0,3000000,10000000.0,hash-key-capital
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,hash-key-capital
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,hash-key-capital
"$50,000,000+",0.0,50000000,,hash-key-capital
"$0 - $1,000,000",0.0,0,1000000.0,coinbase-ventures
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,coinbase-ventures
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,coinbase-ventures
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,coinbase-ventures
"$20,000,000 - $50,000,000",25.0,20000000,50000000.0,coinbase-ventures
"$50,000,000+",0.0,50000000,,coinbase-ventures
"$0 - $1,000,000",5.0,0,1000000.0,delphi-ventures
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,delphi-ventures
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,delphi-ventures
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,delphi-ventures
"$20,000,000 - $50,000,000",5.0,20000000,50000000.0,delphi-ventures
"$50,000,000+",10.0,50000000,,delphi-ventures
"$0 - $1,000,000",0.0,0,1000000.0,circle
"$1,000,000 - $3,000,000",10.0,1000000,3000000.0,circle
"$3,000,000 - $10,000,000",70.0,3000000,10000000.0,circle
"$10,000,000 - $20,000,000",5.0,10000000,20000000.0,circle
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,circle
"$50,000,000+",0.0,50000000,,circle
"$0 - $1,000,000",25.0,0,1000000.0,a16z-csx
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,a16z-csx
"$3,000,000 - $10,000,000",60.0,3000000,10000000.0,a16z-csx
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,a16z-csx
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,a16z-csx
"$50,000,000+",0.0,50000000,,a16z-csx
"$0 - $1,000,000",0.0,0,1000000.0,polychain-capital
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,polychain-capital
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,polychain-capital
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,polychain-capital
