id,slug,name,logo,tier,type,location,stats,investment_types,categories,tags,crowdsales,countries,raise_ranges,fund_slug
57,andreessen-horowitz,Andreessen Horowitz (a16z),https://img.cryptorank.io/funds/150x150.andreessen horowitz (a16z)1648484432797.png,1.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]",[],[],[],[],cleveland-avenue
120,bitkraftventures,Bitkraft Ventures,https://img.cryptorank.io/funds/150x150.bitkraft ventures1653929100699.png,3.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]",[],[],[],[],cleveland-avenue
136,lightspeed-venture-partners,Lightspeed Venture Partners,https://img.cryptorank.io/funds/150x150.lightspeed_venture_partners1657880471226.png,2.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]",,"[{'type': 'SERIES A', 'count': 1, 'percent': 100}]",,,cleveland-avenue
2557,1up-ventures,1Up Ventures,https://img.cryptorank.io/funds/150x150.1_up_ventures1666097078609.png,4.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]",,"[{'type': 'SERIES A', 'count': 1, 'percent': 100}]",,,cleveland-avenue
3217,michael-eisner,Michael Eisner,https://img.cryptorank.io/funds/150x150.michael_eisner1666624494239.png,,Angel Investor,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]",,"[{'type': 'SERIES A', 'count': 1, 'percent': 100}]",,,cleveland-avenue
6266,riot-games,Riot Games,https://img.cryptorank.io/funds/150x150.riot_games1670412989869.png,4.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]",,"[{'type': 'SERIES A', 'count': 1, 'percent': 100}]",,,cleveland-avenue
253,ghaf-capital-partners,GHAF Capital Partners,https://img.cryptorank.io/funds/150x150.ghaf_capital_partners1659688038044.png,3.0,Venture,UAE,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'Undisclosed', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]","[{'tag': 'Shooter', 'count': 1, 'percent': 100}]",,,"[{'count': 1, 'percent': 100, 'raiseTo': 10000000, 'raiseFrom': 3000000}]",primexm
2035,cryptooasis,Crypto Oasis,https://img.cryptorank.io/funds/150x150.crypto_oasis1665493544370.png,4.0,Venture,UAE,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'Undisclosed', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]","[{'tag': 'Shooter', 'count': 1, 'percent': 100}]",,,"[{'count': 1, 'percent': 100, 'raiseTo': 10000000, 'raiseFrom': 3000000}]",primexm
5,coinbase-ventures,Coinbase Ventures,https://img.cryptorank.io/funds/150x150.coinbase ventures1648494875227.png,1.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
7,pantera-capital,Pantera Capital,https://img.cryptorank.io/funds/150x150.pantera capital1648480190185.png,1.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES B', 'count': 1}]","[{'category': 'CeFi', 'count': 1}]",[],[],[],[],sgh-capital
23,hashed-fund,Hashed Fund,https://img.cryptorank.io/funds/150x150.hashed fund1648560102651.png,2.0,Venture,South Korea,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
37,spartan-group,The Spartan Group,https://img.cryptorank.io/funds/150x150.the_spartan_group1729584485534.png,1.0,Venture,Hong Kong,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'CeFi', 'count': 1}]",[],[],[],[],sgh-capital
41,framework-ventures,Framework Ventures,https://img.cryptorank.io/funds/150x150.framework ventures1648565125587.png,2.0,Venture,Canada,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
61,dcg-group,Digital Currency Group (DCG),https://img.cryptorank.io/funds/150x150.digital_currency_group_dcg1730385253254.png,2.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'CeFi', 'count': 1}]",[],[],[],[],sgh-capital
63,hash-key-capital,HashKey Capital,https://img.cryptorank.io/funds/150x150.hashkey capital1648749705706.png,1.0,Venture,Hong Kong,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'CeFi', 'count': 1}]",[],[],[],[],sgh-capital
124,cmt-digital,CMT Digital,https://img.cryptorank.io/funds/150x150.cmt digital1653987824344.png,2.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES B', 'count': 1}]","[{'category': 'CeFi', 'count': 1}]",[],[],[],[],sgh-capital
150,6th-man-ventures,6th Man Ventures,https://img.cryptorank.io/funds/150x150.6th_man_ventures1709564642143.png,2.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
169,figment-capital,Figment Capital,https://img.cryptorank.io/funds/150x150.figment_capital1658306196471.png,3.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
336,consensys,ConsenSys,https://img.cryptorank.io/funds/150x150.consen_sys1689061685748.png,1.0,Corporation,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'CeFi', 'count': 1}]",[],[],[],[],sgh-capital
482,ryan-selkis,Ryan Selkis,https://img.cryptorank.io/funds/150x150.ryan_selkis1684920861982.png,3.0,Angel Investor,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
516,semantic-ventures,Semantic Ventures,https://img.cryptorank.io/funds/150x150.semantic_ventures1724678169754.png,4.0,Venture,United Kingdom,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
588,m12,M12,https://img.cryptorank.io/funds/150x150.m_121724768860652.png,3.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES B', 'count': 1}]","[{'category': 'CeFi', 'count': 1}]","[{'tag': 'Payments', 'count': 1, 'percent': 100}]","[{'type': 'SERIES B', 'count': 1, 'percent': 100}]","[{'count': 1, 'country': 'United States'}]",,sgh-capital
618,susquehanna-international-group,Susquehanna International Group,https://img.cryptorank.io/funds/150x150.susquehanna_international_group1663661772254.png,2.0,Corporation,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
723,lingfeng-capital,Lingfeng Capital,https://img.cryptorank.io/funds/150x150.lingfeng_capital1663840174667.png,4.0,Venture,China,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'CeFi', 'count': 1}]",,"[{'type': 'SERIES A', 'count': 1, 'percent': 100}]","[{'count': 1, 'country': 'United Kingdom'}]","[{'count': 1, 'percent': 100, 'raiseTo': 50000000, 'raiseFrom': 20000000}]",sgh-capital
1051,redbeardvc,Red Beard Ventures,https://img.cryptorank.io/funds/150x150.red_beard_ventures1664361192749.png,4.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Blockchain Service', 'count': 1}]",[],[],[],[],sgh-capital
