id,slug,name,tier,category,country,tabs,fund_slug
9461,psyfi,PsyFi,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['fundingRounds', 'portfolio']",psyfi
9452,cleveland-avenue,Cleveland Avenue,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",cleveland-avenue
9460,kratos-studios,Kratos Studios,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",India,"['fundingRounds', 'portfolio']",kratos-studios
10342,primexm,PrimeXM,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",primexm
9459,napster,Napster,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",United States,"['fundingRounds', 'portfolio']",napster
10010,bait-alzomorod,Bait Alzomorod,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",UAE,"['fundingRounds', 'portfolio']",bait-alzomorod
3396,sgh-capital,SGH Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Luxembourg,"['analytics', 'fundingRounds', 'portfolio']",sgh-capital
9263,taxbit,TaxBit,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",United States,"['fundingRounds', 'portfolio']",taxbit
7423,unicorn-hunter-ventures,Unicorn Hunter Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Vietnam,"['analytics', 'fundingRounds', 'portfolio']",unicorn-hunter-ventures
5939,unlimit,Unlimit,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",United Kingdom,"['analytics', 'fundingRounds', 'portfolio']",unlimit
1332,tongnk,Nick Tong,4.0,"{'id': 9, 'name': 'Angel Investor', 'slug': 'angel-investor'}",Singapore,"['analytics', 'fundingRounds', 'portfolio']",tongnk
740,premjiInvest,Premji Invest,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",India,"['analytics', 'fundingRounds', 'portfolio']",premjiInvest
127,metrix-capital,Metrix.Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'portfolio', 'fundingRounds']",metrix-capital
9369,oanda,OANDA,4.0,"{'id': 5, 'name': 'Exchange', 'slug': 'exchange'}",United States,"['fundingRounds', 'portfolio']",oanda
2325,shinsegae,Shinsegae,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",South Korea,"['analytics', 'fundingRounds', 'portfolio']",shinsegae
2135,kristaps-vaivods,Kristaps Vaivods,4.0,"{'id': 9, 'name': 'Angel Investor', 'slug': 'angel-investor'}",Latvia,"['analytics', 'fundingRounds', 'portfolio']",kristaps-vaivods
10805,tachyon,Tachyon Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['fundingRounds', 'portfolio']",tachyon
3791,metal-vc,Metal Pay,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",United States,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",metal-vc
1439,tomo-chain,Viction,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",Singapore,"['analytics', 'fundingRounds', 'portfolio']",tomo-chain
5504,thibault-launay,Thibault Launay,4.0,"{'id': 9, 'name': 'Angel Investor', 'slug': 'angel-investor'}",UAE,"['analytics', 'fundingRounds', 'portfolio']",thibault-launay
3156,synaps,Synaps,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",France,"['analytics', 'fundingRounds', 'portfolio']",synaps
6881,redstart-labs,RedStart Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",redstart-labs
11042,advent,Advent,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",advent
4432,a-z-angels,A'Z Angels,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",a-z-angels
8958,croc-capital,Croc Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",UAE,"['analytics', 'fundingRounds', 'portfolio']",croc-capital
4959,gameswift,GameSwift,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['analytics', 'fundingRounds', 'portfolio']",gameswift
3755,mvst-mg,MVST:MG,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Cyprus,"['analytics', 'fundingRounds', 'portfolio']",mvst-mg
707,11-2-capital,11.2 Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",11-2-capital
6267,tenzing-capital,Tenzing Capital (Tenzing.vc),4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",tenzing-capital
10162,vernalis-capital,Vernalis Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",vernalis-capital
9994,ufin,UFIN,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'portfolio', 'fundingRounds']",ufin
10596,global-blockchain-ventures,Global Blockchain Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",global-blockchain-ventures
9208,cdti,CDTI,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",Spain,"['analytics', 'fundingRounds', 'portfolio']",cdti
6033,tokenomy,Tokenomy,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",Singapore,"['analytics', 'fundingRounds', 'portfolio']",tokenomy
3208,black-hole-capital,Black Hole Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",China,"['analytics', 'fundingRounds', 'portfolio']",black-hole-capital
3209,funcity-capital,Funcity Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",China,"['analytics', 'fundingRounds', 'portfolio']",funcity-capital
7561,oreilly-alphatech-ventures,Oreilly AlphaTech Ventures (OATV),4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",oreilly-alphatech-ventures
7401,orange,Orange,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Spain,"['analytics', 'fundingRounds', 'portfolio']",orange
10929,pritzker-rganization,Pritzker Organization,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",pritzker-rganization
10083,cherry-street,Cherry Street,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['portfolio', 'fundingRounds']",cherry-street
