date,company,amount,stage,category,formatted_amount,timeline,fund_slug
"Jul 27, 2022","{'name': 'Socket', 'key': 'socket', 'logo': 'https://img.cryptorank.io/coins/60x60.socket1664366912096.png'}",2000000.0,Pre Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$2,000,000","Jul 27, 2022 • Pre Seed",k5ventures
"Jul 27, 2022","{'name': 'Socket', 'key': 'socket-tech', 'logo': 'https://img.cryptorank.io/coins/60x60.socket1723644986543.png'}",2000000.0,Pre Seed,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}","$2,000,000","Jul 27, 2022 • Pre Seed",k5ventures
"Apr 04, 2023","{'name': 'LayerZero', 'key': 'layerzero', 'logo': 'https://img.cryptorank.io/coins/60x60.layer_zero1668092808242.png'}",120000000.0,Series B,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}","$120,000,000","Apr 04, 2023 • Series B",k5ventures
"Apr 04, 2023","{'name': 'LayerZero', 'key': 'layerzero', 'logo': 'https://img.cryptorank.io/coins/60x60.layer_zero1668092808242.png'}",120000000.0,Series B,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}","$120,000,000","Apr 04, 2023 • Series B",atrum
"Apr 04, 2023","{'name': 'Katana', 'key': 'katana', 'logo': 'https://img.cryptorank.io/coins/60x60.katana1677514825134.png'}",0.0,M&A,"{'name': 'DeFi', 'slug': 'defi'}",$0,"Apr 04, 2023 • M&A",psyfi
"Sep 10, 2015","{'name': 'Case', 'key': 'case', 'logo': 'https://img.cryptorank.io/coins/60x60.case1674639497664.png'}",1000000.0,Extended Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$1,000,000","Sep 10, 2015 • Extended Seed",abra
"Mar 30, 2023","{'name': 'LI.FI', 'key': 'li-fi', 'logo': 'https://img.cryptorank.io/coins/60x60.li_fi1664897673776.png'}",17500000.0,Series A,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}","$17,500,000","Mar 30, 2023 • Series A",abra
"Jul 14, 2022","{'name': 'Quadrata', 'key': 'quadrata', 'logo': 'https://img.cryptorank.io/coins/60x60.quadrata1664883297145.png'}",7500000.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$7,500,000","Jul 14, 2022 • Seed",abra
"Mar 30, 2023","{'name': 'Mobee', 'key': 'mobee', 'logo': 'https://img.cryptorank.io/coins/60x60.mobee1680174609195.png'}",0.0,Undisclosed,"{'name': 'CeFi', 'slug': 'ce-fi'}",$0,"Mar 30, 2023 • Undisclosed",1982-ventures
"Mar 30, 2023","{'name': 'Ledger', 'key': 'ledger', 'logo': 'https://img.cryptorank.io/coins/60x60.ledger1673447427161.png'}",109000000.0,Extended Series C,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$109,000,000","Mar 30, 2023 • Extended Series C",caphorn
